./cpp_clockinfo_main-2018macMiniVM-49152MiB-threads_11-LP64-Fedora_37_64bit-g++_12_O3lto-libstdc++ . . .
cpp_clockinfo_main version: acpphint_0.1.25


is_steady:                           true
period 'resolution' : 1 ns
duration max        : 9'223'372'036'854'775'807 ns
now (from epoch)    : 65'229'257'859'195 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     : 15 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 900 ns
(with min duration still included)

target with min duration subtracted  : 885 ns

Other information for reference:

small scale duration variability     : 9 ns

largest observed duration            : 79'249 ns
(with min duration still included)


      list  #Examples       duration   fraction
  position  of durat.           (ns)    with <=

         0          3             15 0.00000150
         1          1             16 0.00000200
         2          2             17 0.00000300
         3          1             18 0.00000350
         4          1             19 0.00000400
         5         32             20 0.00002000
         6     23'945             21 0.01199250
         7    322'609             22 0.17329700
         8    959'685             23 0.65313950
         9    576'002             24 0.94114050
        10    100'986             25 0.99163350
        11      9'498             26 0.99638250
        12        852             27 0.99680850
        13        235             28 0.99692600
        14        154             29 0.99700300
        15        108             30 0.99705700
        16         75             31 0.99709450
        17         65             32 0.99712700
        18         82             33 0.99716800
        19        131             34 0.99723350
        20         90             35 0.99727850
        21         38             36 0.99729750
        22         13             37 0.99730400
        23         13             38 0.99731050
        24          4             39 0.99731250
        25          4             40 0.99731450
        26          2             41 0.99731550
        27          3             43 0.99731700
        28          1             44 0.99731750
        29          4             45 0.99731950
        30          2             46 0.99732050
        31          1             47 0.99732100
        32          1             49 0.99732150
        33          1             53 0.99732200
        34          1             54 0.99732250
        35          5             55 0.99732500
        36         18             56 0.99733400
        37         29             57 0.99734850
        38         34             58 0.99736550
        39         51             59 0.99739100
        40         49             60 0.99741550
        41         72             61 0.99745150
        42         99             62 0.99750100
        43         78             63 0.99754000
        44         82             64 0.99758100
        45        147             65 0.99765450
        46        107             66 0.99770800
        47         36             67 0.99772600
        48          6             68 0.99772900
        49          2             69 0.99773000
        50          1             71 0.99773050
        51          2             72 0.99773150
        52          3             73 0.99773300
        53          1             74 0.99773350
        54          3             75 0.99773500
        55          2             76 0.99773600
        56          4             77 0.99773800
        57          3             78 0.99773950
        58          2             79 0.99774050
        59          3             81 0.99774200
        60          1             82 0.99774250
        61          3             83 0.99774400
        62          6             84 0.99774700
        63         11             85 0.99775250
        64          4             86 0.99775450
        65          5             87 0.99775700
        66          3             88 0.99775850
        67          2             89 0.99775950
        68          3             90 0.99776100
        69          2             91 0.99776200
        70          3             92 0.99776350
        71          1             93 0.99776400
        72          3             95 0.99776550
        73          2             96 0.99776650
        74          1             97 0.99776700
        75          1             98 0.99776750
        76          5             99 0.99777000
        77          1            100 0.99777050
        78          1            101 0.99777100
        79          2            102 0.99777200
        80          6            103 0.99777500
        81          6            104 0.99777800
        82         10            105 0.99778300
        83          3            106 0.99778450
        84          7            107 0.99778800
        85          7            108 0.99779150
        86          8            109 0.99779550
        87         12            110 0.99780150
        88         17            111 0.99781000
        89         11            112 0.99781550
        90         10            113 0.99782050
        91          7            114 0.99782400
        92          5            115 0.99782650
        93          7            116 0.99783000
        94          4            117 0.99783200
        95          6            118 0.99783500
        96          2            119 0.99783600
        97          5            120 0.99783850
        98          8            121 0.99784250
        99         11            122 0.99784800
       100         12            123 0.99785400
       101         13            124 0.99786050
       102         13            125 0.99786700
       103          7            126 0.99787050
       104          5            127 0.99787300
       105          6            128 0.99787600
       106          4            129 0.99787800
       107          6            130 0.99788100
       108          2            131 0.99788200
       109          4            133 0.99788400
       110          3            134 0.99788550
       111          1            137 0.99788600
       112          3            138 0.99788750
       113          1            139 0.99788800
       114          1            142 0.99788850
       115          1            143 0.99788900
       116          2            144 0.99789000
       117          1            148 0.99789050
       118          1            149 0.99789100
       119          1            153 0.99789150
       120          1            154 0.99789200
       121          1            157 0.99789250
       122          1            159 0.99789300
       123          1            161 0.99789350
       124          1            167 0.99789400
       125          1            169 0.99789450
       126          1            171 0.99789500
       127          1            172 0.99789550
       128          1            174 0.99789600
       129          2            175 0.99789700
       130          2            177 0.99789800
       131          1            179 0.99789850
       132          3            180 0.99790000
       133          3            181 0.99790150
       134          2            183 0.99790250
       135          4            184 0.99790450
       136          3            185 0.99790600
       137          4            186 0.99790800
       138          1            187 0.99790850
       139          1            188 0.99790900
       140          3            189 0.99791050
       141          1            190 0.99791100
       142          2            191 0.99791200
       143          1            193 0.99791250
       144          1            194 0.99791300
       145          1            204 0.99791350
       146          1            205 0.99791400
       147          1            206 0.99791450
       148          1            219 0.99791500
       149          1            222 0.99791550
       150          1            234 0.99791600
       151          1            265 0.99791650
       152          1            267 0.99791700
       153          1            287 0.99791750
       154          1            290 0.99791800
       155          1            295 0.99791850
       156          1            301 0.99791900
       157          1            319 0.99791950
       158          1            403 0.99792000
       159          1            420 0.99792050
       160          1            440 0.99792100
       161          1            748 0.99792150
       162          1          1'009 0.99792200
       163          1          1'012 0.99792250
       164          1          1'014 0.99792300
       165          2          1'015 0.99792400
       166          2          1'016 0.99792500
       167          6          1'017 0.99792800
       168          4          1'018 0.99793000
       169          2          1'019 0.99793100
       170          5          1'020 0.99793350
       171          5          1'021 0.99793600
       172          4          1'022 0.99793800
       173          7          1'023 0.99794150
       174          4          1'024 0.99794350
       175         10          1'025 0.99794850
       176          6          1'026 0.99795150
       177          6          1'027 0.99795450
       178          8          1'028 0.99795850
       179          7          1'029 0.99796200
       180         12          1'030 0.99796800
       181         12          1'031 0.99797400
       182          9          1'032 0.99797850
       183         13          1'033 0.99798500
       184          9          1'034 0.99798950
       185          8          1'035 0.99799350
       186          5          1'036 0.99799600
       187         10          1'037 0.99800100
       188          5          1'038 0.99800350
       189         12          1'039 0.99800950
       190          6          1'040 0.99801250
       191          4          1'041 0.99801450
       192         11          1'042 0.99802000
       193          8          1'043 0.99802400
       194         16          1'044 0.99803200
       195         14          1'045 0.99803900
       196         11          1'046 0.99804450
       197         10          1'047 0.99804950
       198          8          1'048 0.99805350
       199         12          1'049 0.99805950
       200         15          1'050 0.99806700
       201         17          1'051 0.99807550
       202          5          1'052 0.99807800
       203          8          1'053 0.99808200
       204          9          1'054 0.99808650
       205          8          1'055 0.99809050
       206         14          1'056 0.99809750
       207         12          1'057 0.99810350
       208         17          1'058 0.99811200
       209          6          1'059 0.99811500
       210         10          1'060 0.99812000
       211         10          1'061 0.99812500
       212          8          1'062 0.99812900
       213         12          1'063 0.99813500
       214          5          1'064 0.99813750
       215         10          1'065 0.99814250
       216          7          1'066 0.99814600
       217          7          1'067 0.99814950
       218          8          1'068 0.99815350
       219          5          1'069 0.99815600
       220         13          1'070 0.99816250
       221          7          1'071 0.99816600
       222          9          1'072 0.99817050
       223          8          1'073 0.99817450
       224         10          1'074 0.99817950
       225         11          1'075 0.99818500
       226         11          1'076 0.99819050
       227         11          1'077 0.99819600
       228         12          1'078 0.99820200
       229         22          1'079 0.99821300
       230         13          1'080 0.99821950
       231         19          1'081 0.99822900
       232         24          1'082 0.99824100
       233         27          1'083 0.99825450
       234         18          1'084 0.99826350
       235         27          1'085 0.99827700
       236         21          1'086 0.99828750
       237         29          1'087 0.99830200
       238         38          1'088 0.99832100
       239         43          1'089 0.99834250
       240         37          1'090 0.99836100
       241         34          1'091 0.99837800
       242         30          1'092 0.99839300
       243         46          1'093 0.99841600
       244         39          1'094 0.99843550
       245         32          1'095 0.99845150
       246         43          1'096 0.99847300
       247         34          1'097 0.99849000
       248         26          1'098 0.99850300
       249         35          1'099 0.99852050
       250         39          1'100 0.99854000
       251         41          1'101 0.99856050
       252         32          1'102 0.99857650
       253         33          1'103 0.99859300
       254         30          1'104 0.99860800
       255         30          1'105 0.99862300
       256         34          1'106 0.99864000
       257         22          1'107 0.99865100
       258         35          1'108 0.99866850
       259         31          1'109 0.99868400
       260         30          1'110 0.99869900
       261         22          1'111 0.99871000
       262         25          1'112 0.99872250
       263         26          1'113 0.99873550
       264         18          1'114 0.99874450
       265         29          1'115 0.99875900
       266         18          1'116 0.99876800
       267         22          1'117 0.99877900
       268         25          1'118 0.99879150
       269         17          1'119 0.99880000
       270         29          1'120 0.99881450
       271         22          1'121 0.99882550
       272         20          1'122 0.99883550
       273         15          1'123 0.99884300
       274         14          1'124 0.99885000
       275         16          1'125 0.99885800
       276         19          1'126 0.99886750
       277         16          1'127 0.99887550
       278         15          1'128 0.99888300
       279         23          1'129 0.99889450
       280         19          1'130 0.99890400
       281         21          1'131 0.99891450
       282         11          1'132 0.99892000
       283         15          1'133 0.99892750
       284          9          1'134 0.99893200
       285         26          1'135 0.99894500
       286         14          1'136 0.99895200
       287         22          1'137 0.99896300
       288         13          1'138 0.99896950
       289         17          1'139 0.99897800
       290         12          1'140 0.99898400
       291         15          1'141 0.99899150
       292         14          1'142 0.99899850
       293         13          1'143 0.99900500
       294         19          1'144 0.99901450
       295         14          1'145 0.99902150
       296          9          1'146 0.99902600
       297         13          1'147 0.99903250
       298         11          1'148 0.99903800
       299          8          1'149 0.99904200
       300          7          1'150 0.99904550
       301         13          1'151 0.99905200
       302         18          1'152 0.99906100
       303         12          1'153 0.99906700
       304          9          1'154 0.99907150
       305         15          1'155 0.99907900
       306          8          1'156 0.99908300
       307         15          1'157 0.99909050
       308          9          1'158 0.99909500
       309         18          1'159 0.99910400
       310          6          1'160 0.99910700
       311          8          1'161 0.99911100
       312         10          1'162 0.99911600
       313         13          1'163 0.99912250
       314          8          1'164 0.99912650
       315         13          1'165 0.99913300
       316          6          1'166 0.99913600
       317         10          1'167 0.99914100
       318          9          1'168 0.99914550
       319         13          1'169 0.99915200
       320          8          1'170 0.99915600
       321         10          1'171 0.99916100
       322          9          1'172 0.99916550
       323          9          1'173 0.99917000
       324          9          1'174 0.99917450
       325          7          1'175 0.99917800
       326          7          1'176 0.99918150
       327          9          1'177 0.99918600
       328         13          1'178 0.99919250
       329          2          1'179 0.99919350
       330          5          1'180 0.99919600
       331          9          1'181 0.99920050
       332         10          1'182 0.99920550
       333         10          1'183 0.99921050
       334          5          1'184 0.99921300
       335          8          1'185 0.99921700
       336          8          1'186 0.99922100
       337          6          1'187 0.99922400
       338          6          1'188 0.99922700
       339          3          1'189 0.99922850
       340          5          1'190 0.99923100
       341          4          1'191 0.99923300
       342          4          1'192 0.99923500
       343          8          1'193 0.99923900
       344          9          1'194 0.99924350
       345          4          1'195 0.99924550
       346          8          1'196 0.99924950
       347          8          1'197 0.99925350
       348          5          1'198 0.99925600
       349          7          1'199 0.99925950
       350          9          1'200 0.99926400
       351          9          1'201 0.99926850
       352          6          1'202 0.99927150
       353          9          1'203 0.99927600
       354          6          1'204 0.99927900
       355          6          1'205 0.99928200
       356          7          1'206 0.99928550
       357          6          1'207 0.99928850
       358          8          1'208 0.99929250
       359         10          1'209 0.99929750
       360         12          1'210 0.99930350
       361          5          1'211 0.99930600
       362          7          1'212 0.99930950
       363          1          1'213 0.99931000
       364          3          1'214 0.99931150
       365          3          1'215 0.99931300
       366          8          1'216 0.99931700
