./cpp_clockinfo_main-HoneyComb-65536MiB-threads_16-LP64-Fedora_37_64bit-g++_12_O3lto-libstdc++ . . .
cpp_clockinfo_main version: acpphint_0.1.29


is_steady:                           true
period 'resolution' : 1 ns
duration max        : 9'223'372'036'854'775'807 ns
now (from epoch)    : 3'341'824'731'893 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     : 39 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 100 ns
(with min duration still included)

target with min duration subtracted  : 61 ns

Other information for reference:

small scale duration variability     : 1 ns

largest observed duration            : 38'039 ns
(with min duration still included)


      list  #Examples       duration   fraction
  position  of durat.           (ns)    with <=

         0      2'938             39 0.00146900
         1  1'993'147             40 0.99804250
         2          2             80 0.99804350
         3          1            120 0.99804400
         4          1            160 0.99804450
         5          1            199 0.99804500
         6          5          2'720 0.99804750
         7          8          2'759 0.99805150
         8         42          2'760 0.99807250
         9         10          2'799 0.99807750
        10         73          2'800 0.99811400
        11          8          2'839 0.99811800
        12        106          2'840 0.99817100
        13         22          2'879 0.99818200
        14        203          2'880 0.99828350
        15         31          2'919 0.99829900
        16        292          2'920 0.99844500
        17        121          2'959 0.99850550
        18        970          2'960 0.99899050
        19         92          2'999 0.99903650
        20        757          3'000 0.99941500
        21         29          3'039 0.99942950
        22        212          3'040 0.99953550
        23         13          3'079 0.99954200
        24        134          3'080 0.99960900
        25         19          3'119 0.99961850
        26         99          3'120 0.99966800
        27         17          3'159 0.99967650
        28         67          3'160 0.99971000
        29          3          3'199 0.99971150
        30         46          3'200 0.99973450
        31          4          3'239 0.99973650
        32         38          3'240 0.99975550
        33          4          3'279 0.99975750
        34         35          3'280 0.99977500
        35          5          3'319 0.99977750
        36         27          3'320 0.99979100
        37          3          3'359 0.99979250
        38         23          3'360 0.99980400
        39          3          3'399 0.99980550
        40         22          3'400 0.99981650
        41          9          3'440 0.99982100
        42          7          3'480 0.99982450
        43          4          3'520 0.99982650
        44          2          3'560 0.99982750
        45          2          3'600 0.99982850
        46          1          3'639 0.99982900
        47          1          3'640 0.99982950
        48          1          3'679 0.99983000
        49          1          3'759 0.99983050
        50          1          3'800 0.99983100
        51          1          3'879 0.99983150
        52          1          3'880 0.99983200
        53          1          3'960 0.99983250
