./cpp_clockinfo_main-HoneyComb-65536MiB-threads_16-LP64-OpenBSD_7p2STABLE_NODIAG_64bit-clang++_13_O3lto-libc++ . . .
cpp_clockinfo_main version: acpphint_0.1.28


is_steady:                           true
period 'resolution' : 1 ns
duration max        : 9'223'372'036'854'775'807 ns
now (from epoch)    : 116'771'647'272 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     : 39 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 4'100 ns
(with min duration still included)

target with min duration subtracted  : 4'061 ns

Other information for reference:

small scale duration variability     : 41 ns

largest observed duration            : 28'720 ns
(with min duration still included)


      list  #Examples       duration   fraction
  position  of durat.           (ns)    with <=

         0     19'990             39 0.00999500
         1    480'790             40 0.25039000
         2     19'449             41 0.26011450
         3     84'016             79 0.30212250
         4  1'310'013             80 0.95712900
         5     81'679             81 0.99796850
         6          3            119 0.99797000
         7         45            120 0.99799250
         8          2            121 0.99799350
         9          2            160 0.99799450
        10          1            240 0.99799500
        11          2          1'000 0.99799600
        12          1          1'039 0.99799650
        13          1          1'160 0.99799700
        14          1          1'400 0.99799750
        15          2          1'520 0.99799850
        16          2          1'560 0.99799950
        17          1          1'680 0.99800000
        18          1          1'760 0.99800050
        19          1          2'080 0.99800100
        20          2          2'200 0.99800200
        21          1          2'240 0.99800250
        22          1          2'280 0.99800300
        23          2          2'600 0.99800400
        24          1          2'920 0.99800450
        25          1          3'040 0.99800500
        26          1          3'160 0.99800550
        27          1          3'240 0.99800600
        28          1          3'440 0.99800650
        29          2          3'640 0.99800750
        30          1          3'679 0.99800800
        31         16          3'680 0.99801600
        32          3          3'719 0.99801750
        33         34          3'720 0.99803450
        34         10          3'760 0.99803950
        35          2          3'800 0.99804050
        36          3          3'840 0.99804200
        37          7          4'200 0.99804550
        38          3          4'239 0.99804700
        39         10          4'240 0.99805200
        40          2          4'279 0.99805300
        41         15          4'280 0.99806050
        42          1          4'319 0.99806100
        43          9          4'320 0.99806550
        44          3          4'359 0.99806700
        45         21          4'360 0.99807750
        46          3          4'399 0.99807900
        47         16          4'400 0.99808700
        48          4          4'439 0.99808900
        49         22          4'440 0.99810000
        50          2          4'441 0.99810100
        51          1          4'479 0.99810150
