./cpp_clockinfo_main-OPi+2E-2048MiB-threads_4-ILP32-FreeBSD_13_r363590M-g++_10_O3lto-libc++-cpulockdown . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  5.4945751e+14 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            249 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :            100 ns
(with min duration still included)

target with min duration subtracted  :           -149 ns

Other information for reference:

small scale duration variability     :              1 ns

largest observed duration            :         39'373 ns
(with min duration still included)


      list  #Examples       duration   fraction
  position  of durat.           (ns)    with <=

         0     96'671            249 0.04833550
         1  1'705'152            250 0.90091150
         2     79'337            251 0.94058000
         3     37'588            291 0.95937400
         4     71'886            292 0.99531700
         5      1'927            333 0.99628050
         6        939            334 0.99675000
         7         91            374 0.99679550
         8      1'183            375 0.99738700
         9         74            376 0.99742400
        10         50            416 0.99744900
        11        118            417 0.99750800
        12        118            458 0.99756700
        13         49            459 0.99759150
        14          6            499 0.99759450
        15        101            500 0.99764500
        16         11            501 0.99765050
        17         19            541 0.99766000
        18         32            542 0.99767600
        19         32            583 0.99769200
        20         11            584 0.99769750
        21          2            624 0.99769850
        22         39            625 0.99771800
        23          3            626 0.99771950
        24          8            666 0.99772350
        25         21            667 0.99773400
        26          8            708 0.99773800
        27          3            709 0.99773950
        28         13            750 0.99774600
        29          3            791 0.99774750
        30         10            792 0.99775250
        31          3            833 0.99775400
        32          2            875 0.99775500
        33          2            916 0.99775600
        34          2            917 0.99775700
        35          1            958 0.99775750
        36          1            959 0.99775800
        37          1          1'167 0.99775850
        38          1          5'708 0.99775900
        39          1          6'000 0.99775950
        40          1          6'208 0.99776000
        41          1          6'249 0.99776050
        42          1          6'291 0.99776100
        43          1          6'333 0.99776150
        44          1          6'375 0.99776200
        45          2          6'416 0.99776300
        46          3          6'500 0.99776450
        47          1          6'583 0.99776500
        48          4          6'625 0.99776700
        49          1          6'666 0.99776750
        50          2          6'667 0.99776850
        51          2          6'708 0.99776950
        52          1          6'750 0.99777000
        53          1          6'792 0.99777050
        54          2          6'833 0.99777150
        55          3          6'875 0.99777300
        56          2          6'917 0.99777400
        57          2          6'958 0.99777500
        58          3          7'000 0.99777650
        59          4          7'041 0.99777850
        60          5          7'042 0.99778100
        61          4          7'083 0.99778300
        62          1          7'084 0.99778350
        63          2          7'124 0.99778450
        64          4          7'125 0.99778650
        65          2          7'166 0.99778750
        66          1          7'167 0.99778800
        67          4          7'208 0.99779000
        68          1          7'209 0.99779050
        69          2          7'249 0.99779150
        70          6          7'250 0.99779450
        71          6          7'291 0.99779750
        72          3          7'292 0.99779900
        73          6          7'333 0.99780200
        74          1          7'374 0.99780250
        75          4          7'375 0.99780450
        76          8          7'416 0.99780850
        77          2          7'417 0.99780950
        78          4          7'458 0.99781150
        79          5          7'499 0.99781400
        80          9          7'500 0.99781850
        81          9          7'541 0.99782300
        82          3          7'542 0.99782450
        83         20          7'583 0.99783450
        84          4          7'624 0.99783650
        85          8          7'625 0.99784050
        86          4          7'666 0.99784250
        87          7          7'667 0.99784600
        88         11          7'708 0.99785150
        89          1          7'709 0.99785200
        90         16          7'750 0.99786000
        91          6          7'791 0.99786300
        92          1          7'792 0.99786350
        93          1          7'832 0.99786400
        94         13          7'833 0.99787050
        95          1          7'834 0.99787100
        96          5          7'874 0.99787350
        97          6          7'875 0.99787650
        98          8          7'916 0.99788050
        99          1          7'917 0.99788100
       100         16          7'958 0.99788900
       101          3          7'999 0.99789050
       102         10          8'000 0.99789550
       103         10          8'041 0.99790050
       104          9          8'042 0.99790500
       105         14          8'083 0.99791200
       106          5          8'124 0.99791450
       107          8          8'125 0.99791850
       108          4          8'166 0.99792050
       109          4          8'167 0.99792250
       110         12          8'208 0.99792850
       111          1          8'209 0.99792900
       112          7          8'249 0.99793250
       113          9          8'250 0.99793700
       114          3          8'291 0.99793850
       115          5          8'292 0.99794100
       116         14          8'333 0.99794800
       117          7          8'374 0.99795150
       118         10          8'375 0.99795650
       119          6          8'416 0.99795950
       120          4          8'417 0.99796150
       121         14          8'458 0.99796850
       122          1          8'459 0.99796900
       123         14          8'499 0.99797600
       124         15          8'500 0.99798350
       125         18          8'541 0.99799250
       126         13          8'542 0.99799900
       127         34          8'583 0.99801600
       128          2          8'584 0.99801700
       129         10          8'624 0.99802200
       130         22          8'625 0.99803300
       131         31          8'666 0.99804850
       132         20          8'667 0.99805850
       133          7          8'707 0.99806200
       134         58          8'708 0.99809100
       135          9          8'709 0.99809550
       136         27          8'749 0.99810900
       137         61          8'750 0.99813950
       138         62          8'791 0.99817050
       139         20          8'792 0.99818050
       140          1          8'832 0.99818100
       141         66          8'833 0.99821400
       142          8          8'834 0.99821800
       143         29          8'874 0.99823250
       144         62          8'875 0.99826350
       145         61          8'916 0.99829400
       146         23          8'917 0.99830550
       147          5          8'957 0.99830800
       148         74          8'958 0.99834500
       149          5          8'959 0.99834750
       150         29          8'999 0.99836200
       151         63          9'000 0.99839350
       152         78          9'041 0.99843250
       153         26          9'042 0.99844550
       154          5          9'082 0.99844800
       155         80          9'083 0.99848800
       156         30          9'124 0.99850300
       157         69          9'125 0.99853750
       158         65          9'166 0.99857000
       159         29          9'167 0.99858450
       160          2          9'207 0.99858550
       161         80          9'208 0.99862550
       162         30          9'249 0.99864050
       163         55          9'250 0.99866800
       164         57          9'291 0.99869650
       165         22          9'292 0.99870750
       166          2          9'332 0.99870850
       167         75          9'333 0.99874600
