./cpp_clockinfo_main-OPi+2E-2048MiB-threads_4-ILP32-FreeBSD_13_r363590M-g++_10_O3lto-libc++ . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  5.5173558e+14 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            249 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :            200 ns
(with min duration still included)

target with min duration subtracted  :            -49 ns

Other information for reference:

small scale duration variability     :              2 ns

largest observed duration            :         50'498 ns
(with min duration still included)


      list  #Examples       duration   fraction
  position  of durat.           (ns)    with <=

         0     94'311            249 0.04715550
         1  1'668'299            250 0.88130500
         2     77'612            251 0.92011100
         3     51'281            291 0.94575150
         4     97'186            292 0.99434450
         5      2'663            333 0.99567600
         6      1'235            334 0.99629350
         7        127            374 0.99635700
         8      1'949            375 0.99733150
         9        102            376 0.99738250
        10         56            416 0.99741050
        11        110            417 0.99746550
        12        117            458 0.99752400
        13         57            459 0.99755250
        14          6            499 0.99755550
        15        105            500 0.99760800
        16          6            501 0.99761100
        17         29            541 0.99762550
        18         40            542 0.99764550
        19         31            583 0.99766100
        20         17            584 0.99766950
        21          3            624 0.99767100
        22         40            625 0.99769100
        23          4            626 0.99769300
        24         18            666 0.99770200
        25         30            667 0.99771700
        26         24            708 0.99772900
        27          6            709 0.99773200
        28         27            750 0.99774550
        29          1            751 0.99774600
        30          3            791 0.99774750
        31          3            792 0.99774900
        32          3            833 0.99775050
        33          3            834 0.99775200
        34          1            875 0.99775250
        35          2            916 0.99775350
        36          1            917 0.99775400
        37          1            958 0.99775450
        38          1            959 0.99775500
        39          3          1'000 0.99775650
        40          2          1'042 0.99775750
        41          1          1'083 0.99775800
        42          1          1'125 0.99775850
        43          1          1'167 0.99775900
        44          2          5'458 0.99776000
        45          1          5'583 0.99776050
        46          1          5'667 0.99776100
        47          1          5'749 0.99776150
        48          1          5'750 0.99776200
        49          1          5'792 0.99776250
        50          1          5'875 0.99776300
        51          1          6'000 0.99776350
        52          2          6'083 0.99776450
        53          1          6'124 0.99776500
        54          1          6'166 0.99776550
        55          1          6'249 0.99776600
        56          1          6'375 0.99776650
        57          4          6'458 0.99776850
        58          1          6'500 0.99776900
        59          1          6'541 0.99776950
        60          2          6'583 0.99777050
        61          1          6'624 0.99777100
        62          2          6'625 0.99777200
        63          3          6'666 0.99777350
        64          3          6'708 0.99777500
        65          1          6'709 0.99777550
        66          2          6'750 0.99777650
        67          1          6'791 0.99777700
        68          2          6'833 0.99777800
        69          1          6'874 0.99777850
        70          3          6'875 0.99778000
        71          1          6'917 0.99778050
        72          5          6'958 0.99778300
        73          1          6'999 0.99778350
        74          4          7'000 0.99778550
        75          4          7'041 0.99778750
        76          2          7'042 0.99778850
        77          1          7'083 0.99778900
        78          1          7'124 0.99778950
        79          7          7'125 0.99779300
        80          5          7'166 0.99779550
        81          1          7'167 0.99779600
        82          3          7'208 0.99779750
        83          1          7'209 0.99779800
        84          3          7'249 0.99779950
        85          7          7'250 0.99780300
        86          2          7'291 0.99780400
        87          6          7'292 0.99780700
        88          3          7'333 0.99780850
        89          1          7'334 0.99780900
        90          3          7'374 0.99781050
        91          9          7'375 0.99781500
        92          2          7'416 0.99781600
        93          2          7'417 0.99781700
        94         12          7'458 0.99782300
        95          1          7'459 0.99782350
        96          3          7'499 0.99782500
        97          8          7'500 0.99782900
        98          6          7'541 0.99783200
