./cpp_clockinfo_main-OPi+2E-2048MiB-threads_4-ILP32-FreeBSD_main_n247756_348c41d1815d_32bit-g++_11_O3lto-libc++-cpulockdown . . .
cpp_clockinfo_main version: acpphint_0.1.24


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  3.9800668e+12 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            208 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :         16'700 ns
(with min duration still included)

target with min duration subtracted  :         16'492 ns

Other information for reference:

small scale duration variability     :            167 ns

largest observed duration            :        109'162 ns
(with min duration still included)


      list  #Examples       duration   fraction
  position  of durat.           (ns)    with <=

         0    283'731            208 0.14186550
         1    137'489            209 0.21061000
         2     54'700            249 0.23796000
         3    968'903            250 0.72241150
         4     45'258            251 0.74504050
         5      1'395            291 0.74573800
         6      2'593            292 0.74703450
         7     38'431            333 0.76625000
         8     18'274            334 0.77538700
         9     27'914            374 0.78934400
        10    390'304            375 0.98449600
        11     22'155            376 0.99557350
        12        797            416 0.99597200
        13      1'455            417 0.99669950
        14        450            458 0.99692450
        15        191            459 0.99702000
        16         36            499 0.99703800
        17        536            500 0.99730600
        18         22            501 0.99731700
        19        152            541 0.99739300
        20        303            542 0.99754450
        21        113            583 0.99760100
        22         41            584 0.99762150
        23          2            624 0.99762250
        24         34            625 0.99763950
        25          2            626 0.99764050
        26         13            666 0.99764700
        27         28            667 0.99766100
        28         36            708 0.99767900
        29         17            709 0.99768750
        30          3            749 0.99768900
        31         32            750 0.99770500
        32          4            791 0.99770700
        33         15            792 0.99771450
        34          7            833 0.99771800
        35          6            834 0.99772100
        36          9            875 0.99772550
        37          1            916 0.99772600
        38          7            917 0.99772950
        39          1            958 0.99773000
        40          1            999 0.99773050
        41          8          1'000 0.99773450
        42          4          1'041 0.99773650
        43          1          1'167 0.99773700
        44          1          1'208 0.99773750
        45          1          3'500 0.99773800
        46          1          4'750 0.99773850
        47          1          5'166 0.99773900
        48          1          5'250 0.99773950
        49          1          5'291 0.99774000
        50          1          5'499 0.99774050
        51          1          5'791 0.99774100
        52          1          5'792 0.99774150
        53          1          6'000 0.99774200
        54          1          6'042 0.99774250
        55          1          6'082 0.99774300
        56          2          6'083 0.99774400
        57          1          6'124 0.99774450
        58          2          6'125 0.99774550
        59          1          6'208 0.99774600
        60          1          6'249 0.99774650
        61          1          6'250 0.99774700
        62          1          6'291 0.99774750
        63          1          6'333 0.99774800
        64          1          6'375 0.99774850
        65          2          6'416 0.99774950
        66          1          6'417 0.99775000
        67          2          6'458 0.99775100
        68          1          6'499 0.99775150
        69          6          6'500 0.99775450
        70          4          6'541 0.99775650
        71          3          6'542 0.99775800
        72          2          6'583 0.99775900
        73          1          6'624 0.99775950
        74          4          6'625 0.99776150
        75          4          6'666 0.99776350
        76          5          6'667 0.99776600
        77          6          6'708 0.99776900
        78          8          6'750 0.99777300
        79          5          6'791 0.99777550
        80          5          6'792 0.99777800
        81          5          6'833 0.99778050
        82          1          6'834 0.99778100
        83          1          6'874 0.99778150
