./cpp_clockinfo_main-OPi+2E-2048MiB-threads_4-ILP32-FreeBSD_main_n247756_348c41d1815d_32bit-g++_11_O3lto-libc++ . . .
cpp_clockinfo_main version: acpphint_0.1.24


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  3.9265699e+12 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            208 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :         16'700 ns
(with min duration still included)

target with min duration subtracted  :         16'492 ns

Other information for reference:

small scale duration variability     :            167 ns

largest observed duration            :        123'537 ns
(with min duration still included)


      list  #Examples       duration   fraction
  position  of durat.           (ns)    with <=

         0    322'810            208 0.16140500
         1    156'024            209 0.23941700
         2     61'994            249 0.27041400
         3  1'101'307            250 0.82106750
         4     51'559            251 0.84684700
         5      1'420            291 0.84755700
         6      2'755            292 0.84893450
         7     23'424            333 0.86064650
         8     11'077            334 0.86618500
         9     16'483            374 0.87442650
        10    230'873            375 0.98986300
        11     13'095            376 0.99641050
        12        450            416 0.99663550
        13        890            417 0.99708050
        14        326            458 0.99724350
        15        143            459 0.99731500
        16         30            499 0.99733000
        17        343            500 0.99750150
        18         17            501 0.99751000
        19         82            541 0.99755100
        20        192            542 0.99764700
        21         62            583 0.99767800
        22         33            584 0.99769450
        23         29            625 0.99770900
        24          8            666 0.99771300
        25         18            667 0.99772200
        26         12            708 0.99772800
        27          9            709 0.99773250
        28          1            749 0.99773300
        29         17            750 0.99774150
        30          3            791 0.99774300
        31          6            792 0.99774600
        32          4            833 0.99774800
        33          3            834 0.99774950
        34          2            875 0.99775050
        35          1            916 0.99775100
        36          4            917 0.99775300
        37          2          1'000 0.99775400
        38          1          1'041 0.99775450
        39          1          1'042 0.99775500
        40          1          1'167 0.99775550
        41          1          3'250 0.99775600
        42          1          3'708 0.99775650
        43          1          3'875 0.99775700
        44          1          5'083 0.99775750
        45          1          5'124 0.99775800
        46          1          5'375 0.99775850
        47          2          5'500 0.99775950
        48          1          5'667 0.99776000
        49          1          5'750 0.99776050
        50          1          5'791 0.99776100
        51          1          5'875 0.99776150
        52          1          5'958 0.99776200
        53          1          6'041 0.99776250
        54          3          6'083 0.99776400
        55          1          6'125 0.99776450
        56          1          6'166 0.99776500
        57          1          6'167 0.99776550
        58          1          6'208 0.99776600
        59          1          6'249 0.99776650
        60          3          6'250 0.99776800
        61          1          6'291 0.99776850
        62          3          6'333 0.99777000
        63          1          6'375 0.99777050
        64          1          6'416 0.99777100
        65          1          6'417 0.99777150
        66          4          6'458 0.99777350
        67          2          6'459 0.99777450
        68          2          6'499 0.99777550
        69          1          6'500 0.99777600
        70          2          6'541 0.99777700
        71          2          6'542 0.99777800
        72          4          6'583 0.99778000
        73          7          6'625 0.99778350
        74          3          6'666 0.99778500
        75          2          6'667 0.99778600
        76          8          6'708 0.99779000
        77          3          6'749 0.99779150
        78          8          6'750 0.99779550
        79          9          6'791 0.99780000
        80          3          6'792 0.99780150
        81          8          6'833 0.99780550
        82          5          6'874 0.99780800
        83          6          6'875 0.99781100
        84          5          6'916 0.99781350
        85          7          6'917 0.99781700
        86          8          6'958 0.99782100
        87          1          6'959 0.99782150
        88          3          6'999 0.99782300
        89          6          7'000 0.99782600
        90          6          7'041 0.99782900
        91          7          7'042 0.99783250
        92          6          7'083 0.99783550
        93          3          7'124 0.99783700
        94          4          7'125 0.99783900
        95          6          7'166 0.99784200
        96          2          7'167 0.99784300
        97          8          7'208 0.99784700
        98          1          7'209 0.99784750
        99          4          7'249 0.99784950
       100          5          7'250 0.99785200
       101          9          7'291 0.99785650
       102          3          7'292 0.99785800
       103         17          7'333 0.99786650
       104          8          7'375 0.99787050
       105          6          7'416 0.99787350
       106          4          7'417 0.99787550
       107         13          7'458 0.99788200
       108          3          7'499 0.99788350
       109          9          7'500 0.99788800
       110          7          7'541 0.99789150
       111          6          7'542 0.99789450
       112         12          7'583 0.99790050
       113          2          7'584 0.99790150
       114          5          7'624 0.99790400
       115          9          7'625 0.99790850
       116          7          7'666 0.99791200
       117          5          7'667 0.99791450
       118          8          7'708 0.99791850
       119          5          7'749 0.99792100
       120         10          7'750 0.99792600
       121          9          7'791 0.99793050
       122          5          7'792 0.99793300
       123         19          7'833 0.99794250
       124          2          7'834 0.99794350
       125          6          7'874 0.99794650
       126         26          7'875 0.99795950
       127         19          7'916 0.99796900
       128         11          7'917 0.99797450
       129          3          7'957 0.99797600
       130         34          7'958 0.99799300
       131          2          7'959 0.99799400
       132         18          7'999 0.99800300
       133         49          8'000 0.99802750
       134         42          8'041 0.99804850
       135         30          8'042 0.99806350
       136          1          8'082 0.99806400
       137         64          8'083 0.99809600
       138          9          8'084 0.99810050
       139         25          8'124 0.99811300
       140         77          8'125 0.99815150
       141         46          8'166 0.99817450
       142         38          8'167 0.99819350
       143          1          8'207 0.99819400
       144         78          8'208 0.99823300
       145          3          8'209 0.99823450
       146         31          8'249 0.99825000
       147         81          8'250 0.99829050
       148         59          8'291 0.99832000
       149         37          8'292 0.99833850
       150        118          8'333 0.99839750
       151          8          8'334 0.99840150
       152         18          8'374 0.99841050
       153         79          8'375 0.99845000
       154         52          8'416 0.99847600
       155         43          8'417 0.99849750
       156         95          8'458 0.99854500
       157          3          8'459 0.99854650
       158         30          8'499 0.99856150
       159         61          8'500 0.99859200
       160         59          8'541 0.99862150
       161         24          8'542 0.99863350
       162          3          8'582 0.99863500
       163         70          8'583 0.99867000
       164          4          8'584 0.99867200
       165         25          8'624 0.99868450
       166         62          8'625 0.99871550
       167         49          8'666 0.99874000
       168         17          8'667 0.99874850
       169          4          8'707 0.99875050
       170         57          8'708 0.99877900
       171          4          8'709 0.99878100
       172         20          8'749 0.99879100
       173         34          8'750 0.99880800
       174         38          8'791 0.99882700
       175         16          8'792 0.99883500
       176          1          8'832 0.99883550
       177         42          8'833 0.99885650
       178          6          8'834 0.99885950
       179         14          8'874 0.99886650
       180         22          8'875 0.99887750
       181         34          8'916 0.99889450
       182         15          8'917 0.99890200
       183          4          8'957 0.99890400
       184         36          8'958 0.99892200
       185          1          8'959 0.99892250
       186         13          8'999 0.99892900
       187         26          9'000 0.99894200
       188         23          9'041 0.99895350
       189         12          9'042 0.99895950
       190          2          9'082 0.99896050
       191         32          9'083 0.99897650
       192          1          9'084 0.99897700
       193          5          9'124 0.99897950
       194         13          9'125 0.99898600
       195         19          9'166 0.99899550
       196          9          9'167 0.99900000
       197         23          9'208 0.99901150
       198          8          9'249 0.99901550
       199         20          9'250 0.99902550
       200         11          9'291 0.99903100
       201         16          9'292 0.99903900
       202         22          9'333 0.99905000
       203          1          9'334 0.99905050
       204          9          9'374 0.99905500
       205         13          9'375 0.99906150
       206         16          9'416 0.99906950
       207          6          9'417 0.99907250
       208          1          9'457 0.99907300
       209         21          9'458 0.99908350
       210          2          9'459 0.99908450
       211         12          9'499 0.99909050
       212         16          9'500 0.99909850
       213         21          9'541 0.99910900
       214          8          9'542 0.99911300
       215          1          9'582 0.99911350
       216         32          9'583 0.99912950
       217          4          9'584 0.99913150
       218         17          9'624 0.99914000
       219         24          9'625 0.99915200
       220         16          9'666 0.99916000
       221         11          9'667 0.99916550
       222          2          9'707 0.99916650
       223         20          9'708 0.99917650
       224          5          9'709 0.99917900
       225          9          9'749 0.99918350
       226         10          9'750 0.99918850
       227         20          9'791 0.99919850
       228          9          9'792 0.99920300
       229          4          9'832 0.99920500
       230         24          9'833 0.99921700
       231          4          9'834 0.99921900
       232         17          9'874 0.99922750
       233         23          9'875 0.99923900
       234         16          9'916 0.99924700
       235         11          9'917 0.99925250
       236          4          9'957 0.99925450
       237         34          9'958 0.99927150
       238          5          9'959 0.99927400
       239         17          9'999 0.99928250
       240         23         10'000 0.99929400
       241         28         10'041 0.99930800
       242          9         10'042 0.99931250
       243         38         10'083 0.99933150
       244          1         10'084 0.99933200
       245         15         10'124 0.99933950
       246         21         10'125 0.99935000
       247         19         10'166 0.99935950
       248         14         10'167 0.99936650
       249          1         10'207 0.99936700
       250         32         10'208 0.99938300
       251          5         10'249 0.99938550
       252         13         10'250 0.99939200
       253         21         10'291 0.99940250
       254          4         10'292 0.99940450
       255          2         10'332 0.99940550
       256         26         10'333 0.99941850
       257         12         10'374 0.99942450
       258         19         10'375 0.99943400
       259         13         10'416 0.99944050
       260          9         10'417 0.99944500
       261          1         10'457 0.99944550
       262         21         10'458 0.99945600
       263          9         10'499 0.99946050
       264         14         10'500 0.99946750
       265         19         10'541 0.99947700
       266          7         10'542 0.99948050
       267         17         10'583 0.99948900
       268          5         10'624 0.99949150
       269         15         10'625 0.99949900
       270         14         10'666 0.99950600
       271          5         10'667 0.99950850
       272          2         10'707 0.99950950
       273         10         10'708 0.99951450
       274          7         10'749 0.99951800
       275         14         10'750 0.99952500
       276          6         10'791 0.99952800
       277          9         10'792 0.99953250
       278          3         10'832 0.99953400
       279         10         10'833 0.99953900
       280          2         10'834 0.99954000
       281          6         10'874 0.99954300
       282          3         10'875 0.99954450
       283          5         10'916 0.99954700
       284          4         10'917 0.99954900
       285         10         10'958 0.99955400
       286          3         10'999 0.99955550
       287          8         11'000 0.99955950
       288          6         11'041 0.99956250
       289          2         11'042 0.99956350
       290          1         11'082 0.99956400
       291          9         11'083 0.99956850
       292          4         11'124 0.99957050
       293          6         11'125 0.99957350
       294          5         11'166 0.99957600
       295          4         11'167 0.99957800
       296          4         11'208 0.99958000
       297          2         11'249 0.99958100
       298          2         11'250 0.99958200
       299          5         11'291 0.99958450
       300          2         11'292 0.99958550
       301          1         11'332 0.99958600
       302          3         11'333 0.99958750
       303          1         11'374 0.99958800
       304          1         11'375 0.99958850
       305          7         11'416 0.99959200
       306          8         11'458 0.99959600
       307          4         11'499 0.99959800
       308          3         11'500 0.99959950
       309          5         11'541 0.99960200
       310          2         11'542 0.99960300
       311          6         11'583 0.99960600
       312          1         11'584 0.99960650
       313          2         11'625 0.99960750
       314          3         11'666 0.99960900
       315          2         11'667 0.99961000
       316          1         11'707 0.99961050
       317          5         11'708 0.99961300
       318          2         11'749 0.99961400
       319          1         11'750 0.99961450
       320          5         11'791 0.99961700
       321          1         11'792 0.99961750
       322          1         11'833 0.99961800
       323          3         11'874 0.99961950
       324          4         11'875 0.99962150
       325          8         11'916 0.99962550
       326          1         11'957 0.99962600
       327          4         11'958 0.99962800
       328          1         11'999 0.99962850
       329          4         12'000 0.99963050
       330         10         12'041 0.99963550
       331          3         12'042 0.99963700
       332          3         12'083 0.99963850
       333          3         12'124 0.99964000
       334          5         12'125 0.99964250
       335          4         12'166 0.99964450
       336          3         12'167 0.99964600
       337          1         12'207 0.99964650
       338          7         12'208 0.99965000
       339          3         12'249 0.99965150
       340          7         12'250 0.99965500
       341         10         12'291 0.99966000
       342          3         12'292 0.99966150
       343          3         12'332 0.99966300
       344         10         12'333 0.99966800
       345          7         12'374 0.99967150
       346          8         12'375 0.99967550
       347         15         12'416 0.99968300
       348          5         12'417 0.99968550
       349         16         12'458 0.99969350
       350         12         12'499 0.99969950
       351          3         12'500 0.99970100
       352         17         12'541 0.99970950
       353          2         12'542 0.99971050
       354         14         12'583 0.99971750
       355          5         12'624 0.99972000
       356          2         12'625 0.99972100
       357          6         12'666 0.99972400
       358          2         12'667 0.99972500
       359          4         12'707 0.99972700
       360         17         12'708 0.99973550
       361          4         12'749 0.99973750
       362          9         12'750 0.99974200
       363          8         12'791 0.99974600
       364          4         12'792 0.99974800
       365          2         12'832 0.99974900
       366         11         12'833 0.99975450
       367          6         12'874 0.99975750
       368          6         12'875 0.99976050
       369         10         12'916 0.99976550
       370          1         12'917 0.99976600
       371          4         12'958 0.99976800
       372          5         12'999 0.99977050
       373          4         13'000 0.99977250
       374          9         13'041 0.99977700
       375          1         13'042 0.99977750
       376          8         13'083 0.99978150
       377          3         13'124 0.99978300
       378          1         13'125 0.99978350
       379          5         13'166 0.99978600
       380          2         13'167 0.99978700
       381          9         13'208 0.99979150
       382          3         13'249 0.99979300
       383          3         13'250 0.99979450
       384          4         13'291 0.99979650
       385          4         13'292 0.99979850
       386          4         13'333 0.99980050
       387          1         13'374 0.99980100
       388          5         13'375 0.99980350
       389          4         13'416 0.99980550
       390          6         13'458 0.99980850
       391          2         13'499 0.99980950
       392          7         13'500 0.99981300
       393          3         13'541 0.99981450
       394          1         13'582 0.99981500
       395          5         13'583 0.99981750
       396          2         13'624 0.99981850
       397          6         13'625 0.99982150
       398          4         13'666 0.99982350
       399          1         13'667 0.99982400
       400          1         13'707 0.99982450
       401          4         13'708 0.99982650
       402          5         13'750 0.99982900
       403          2         13'791 0.99983000
       404          1         13'792 0.99983050
       405          5         13'833 0.99983300
       406          3         13'875 0.99983450
       407          3         13'916 0.99983600
       408          2         13'917 0.99983700
       409          1         13'957 0.99983750
       410          4         13'958 0.99983950
       411          3         13'999 0.99984100
       412          3         14'041 0.99984250
       413          2         14'083 0.99984350
       414          1         14'124 0.99984400
       415          1         14'125 0.99984450
       416          1         14'166 0.99984500
       417          2         14'207 0.99984600
       418          4         14'208 0.99984800
       419          3         14'249 0.99984950
       420          5         14'250 0.99985200
       421          3         14'291 0.99985350
       422          1         14'292 0.99985400
       423          1         14'332 0.99985450
       424          1         14'333 0.99985500
       425          3         14'374 0.99985650
       426          1         14'375 0.99985700
       427          3         14'416 0.99985850
       428          5         14'458 0.99986100
       429          2         14'499 0.99986200
       430          1         14'500 0.99986250
       431          1         14'541 0.99986300
       432          1         14'542 0.99986350
       433          1         14'582 0.99986400
       434          5         14'583 0.99986650
       435          4         14'624 0.99986850
       436          1         14'625 0.99986900
       437          4         14'666 0.99987100
       438          6         14'708 0.99987400
       439          3         14'749 0.99987550
       440          4         14'750 0.99987750
       441          1         14'791 0.99987800
       442          3         14'833 0.99987950
       443          2         14'874 0.99988050
       444          5         14'875 0.99988300
       445          4         14'916 0.99988500
       446          1         14'958 0.99988550
       447          5         14'999 0.99988800
       448          3         15'000 0.99988950
       449          6         15'041 0.99989250
       450          2         15'042 0.99989350
       451          2         15'082 0.99989450
       452          3         15'083 0.99989600
       453          2         15'124 0.99989700
       454          3         15'125 0.99989850
       455          3         15'166 0.99990000
       456          3         15'208 0.99990150
       457          3         15'249 0.99990300
       458          7         15'291 0.99990650
       459          2         15'333 0.99990750
       460          6         15'374 0.99991050
       461          2         15'375 0.99991150
       462          5         15'416 0.99991400
       463          2         15'458 0.99991500
       464          1         15'499 0.99991550
       465          2         15'541 0.99991650
       466          5         15'583 0.99991900
       467          1         15'624 0.99991950
       468          1         15'625 0.99992000
       469          3         15'666 0.99992150
       470          1         15'707 0.99992200
       471          1         15'708 0.99992250
       472          1         15'749 0.99992300
       473          1         15'791 0.99992350
       474          1         15'833 0.99992400
       475          2         15'874 0.99992500
       476          5         15'916 0.99992750
       477          3         15'958 0.99992900
       478          1         15'999 0.99992950
       479          4         16'041 0.99993150
       480          1         16'082 0.99993200
       481          2         16'083 0.99993300
       482          1         16'125 0.99993350
       483          2         16'166 0.99993450
       484          2         16'207 0.99993550
       485          1         16'332 0.99993600
       486          1         16'374 0.99993650
       487          2         16'416 0.99993750
       488          1         16'499 0.99993800
