./cpp_clockinfo_main-RPi4B-8192MiB-threads_4-LP64-FreeBSD_main_n247756_348c41d1815d_64bit-g++_11_O3lto-libc++ . . .
cpp_clockinfo_main version: acpphint_0.1.24


is_steady:                           true
period 'resolution' : 1 ns
duration max        : 9'223'372'036'854'775'807 ns
now (from epoch)    : 390'612'495'867 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     : 55 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 1'900 ns
(with min duration still included)

target with min duration subtracted  : 1'845 ns

Other information for reference:

small scale duration variability     : 19 ns

largest observed duration            : 53'870 ns
(with min duration still included)


      list  #Examples       duration   fraction
  position  of durat.           (ns)    with <=

         0     60'904             55 0.03045200
         1     76'127             56 0.06851550
         2  1'713'225             74 0.92512800
         3    135'896             75 0.99307600
         4      3'917             92 0.99503450
         5      5'656             93 0.99786250
         6        163            111 0.99794400
         7         25            112 0.99795650
         8          3            129 0.99795800
         9          4            130 0.99796000
        10          3            148 0.99796150
        11          1            186 0.99796200
        12          1            222 0.99796250
        13          1            241 0.99796300
        14          1            259 0.99796350
        15          1          1'222 0.99796400
        16          4          1'259 0.99796600
        17          1          1'260 0.99796650
        18          2          1'277 0.99796750
        19          5          1'278 0.99797000
        20          6          1'296 0.99797300
        21          3          1'297 0.99797450
        22          4          1'314 0.99797650
        23         19          1'315 0.99798600
        24         13          1'333 0.99799250
        25          6          1'334 0.99799550
        26          6          1'351 0.99799850
        27         19          1'352 0.99800800
        28          5          1'370 0.99801050
        29          3          1'371 0.99801200
        30          6          1'389 0.99801500
        31          4          1'407 0.99801700
        32          1          1'425 0.99801750
        33          2          1'426 0.99801850
        34          1          1'444 0.99801900
        35          1          1'445 0.99801950
        36          3          1'463 0.99802100
        37          3          1'481 0.99802250
        38          2          1'482 0.99802350
        39          2          1'500 0.99802450
        40          2          1'518 0.99802550
        41          1          1'574 0.99802600
        42          1          1'611 0.99802650
        43          1          1'667 0.99802700
        44          2          1'685 0.99802800
        45          2          1'703 0.99802900
        46          1          1'723 0.99802950
        47          1          1'759 0.99803000
        48          2          1'778 0.99803100
        49          1          1'796 0.99803150
        50          1          1'797 0.99803200
        51          1          1'815 0.99803250
        52          1          1'888 0.99803300
        53          1          1'889 0.99803350
        54          1          1'945 0.99803400
        55          2          2'037 0.99803500
        56          1          2'074 0.99803550
        57          1          2'129 0.99803600
        58          1          2'166 0.99803650
        59          1          2'204 0.99803700
        60          1          2'241 0.99803750
        61          1          2'259 0.99803800
        62          1          2'389 0.99803850
        63          1          2'426 0.99803900
        64          1          2'500 0.99803950
        65          1          2'556 0.99804000
        66          1          2'667 0.99804050
        67          1          2'685 0.99804100
        68          1          2'759 0.99804150
        69          1          2'815 0.99804200
        70          1          2'833 0.99804250
        71          1          2'926 0.99804300
        72          2          2'963 0.99804400
        73          1          2'981 0.99804450
        74          1          2'982 0.99804500
        75          1          3'000 0.99804550
        76          1          3'019 0.99804600
        77          2          3'037 0.99804700
        78          2          3'056 0.99804800
        79          2          3'093 0.99804900
        80          4          3'111 0.99805100
        81          2          3'129 0.99805200
        82          1          3'130 0.99805250
        83          3          3'148 0.99805400
        84          1          3'166 0.99805450
        85          2          3'167 0.99805550
        86          4          3'185 0.99805750
        87          3          3'203 0.99805900
        88          2          3'204 0.99806000
        89          5          3'222 0.99806250
        90          3          3'223 0.99806400
        91          2          3'240 0.99806500
        92          5          3'241 0.99806750
        93          6          3'259 0.99807050
        94          8          3'278 0.99807450
