./cpp_clockinfo_main-RPi4B-4096MiB-threads_4-LP64-Fedora_33_64bit-g++_10_O3lto-libstdc++-cpulockdown . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  1.3147276e+13 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             55 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'900 ns
(with min duration still included)

target with min duration subtracted  :          1'845 ns

Other information for reference:

small scale duration variability     :             19 ns

largest observed duration            :        218'477 ns
(with min duration still included)


      list  #Examples       duration   fraction
  position  of durat.           (ns)    with <=

         0    427'996             55 0.21399800
         1    532'313             56 0.48015450
         2    960'564             74 0.96043650
         3     75'168             75 0.99802050
         4          2             93 0.99802150
         5          2            111 0.99802250
         6          2            112 0.99802350
         7          1            130 0.99802400
         8          1            148 0.99802450
         9          1            167 0.99802500
        10          1            185 0.99802550
        11          1            186 0.99802600
        12          2            222 0.99802700
        13          1            241 0.99802750
        14          1            259 0.99802800
        15          1            278 0.99802850
        16          1            296 0.99802900
        17          1            426 0.99802950
        18          1            556 0.99803000
        19          1          3'463 0.99803050
        20          1          3'481 0.99803100
        21          2          3'537 0.99803200
        22          1          3'648 0.99803250
        23          1          3'649 0.99803300
        24          2          3'703 0.99803400
        25          5          3'722 0.99803650
        26          1          3'740 0.99803700
        27          2          3'741 0.99803800
        28          9          3'759 0.99804250
        29          1          3'777 0.99804300
        30          5          3'778 0.99804550
        31          2          3'796 0.99804650
        32          2          3'797 0.99804750
        33          5          3'814 0.99805000
        34          6          3'815 0.99805300
        35          9          3'833 0.99805750
        36          2          3'834 0.99805850
        37          4          3'851 0.99806050
        38         12          3'852 0.99806650
        39         18          3'870 0.99807550
        40          4          3'871 0.99807750
        41          6          3'888 0.99808050
        42         15          3'889 0.99808800
        43         19          3'907 0.99809750
        44          9          3'908 0.99810200
        45          5          3'925 0.99810450
        46         35          3'926 0.99812200
        47         34          3'944 0.99813900
        48         13          3'945 0.99814550
        49          7          3'962 0.99814900
        50         45          3'963 0.99817150
        51         43          3'981 0.99819300
        52         26          3'982 0.99820600
        53          1          3'999 0.99820650
        54         59          4'000 0.99823600
        55         36          4'018 0.99825400
        56         25          4'019 0.99826650
        57          5          4'036 0.99826900
        58         54          4'037 0.99829600
        59         37          4'055 0.99831450
        60         31          4'056 0.99833000
        61          2          4'073 0.99833100
        62         48          4'074 0.99835500
        63         31          4'092 0.99837050
        64         45          4'093 0.99839300
        65         84          4'111 0.99843500
        66          1          4'112 0.99843550
        67         38          4'129 0.99845450
        68         51          4'130 0.99848000
        69         82          4'148 0.99852100
        70          6          4'149 0.99852400
        71         39          4'166 0.99854350
        72         48          4'167 0.99856750
        73         93          4'185 0.99861400
        74         13          4'186 0.99862050
        75         39          4'203 0.99864000
        76         56          4'204 0.99866800
        77         87          4'222 0.99871150
        78         10          4'223 0.99871650
        79         26          4'240 0.99872950
        80         65          4'241 0.99876200
        81         88          4'259 0.99880600
        82         27          4'260 0.99881950
        83         35          4'277 0.99883700
        84         62          4'278 0.99886800
        85         60          4'296 0.99889800
        86         15          4'297 0.99890550
        87         28          4'314 0.99891950
        88         76          4'315 0.99895750
        89         69          4'333 0.99899200
        90         18          4'334 0.99900100
        91         26          4'351 0.99901400
        92         70          4'352 0.99904900
        93         54          4'370 0.99907600
        94         16          4'371 0.99908400
        95         11          4'388 0.99908950
        96         78          4'389 0.99912850
        97         60          4'407 0.99915850
        98         29          4'408 0.99917300
        99         16          4'425 0.99918100
       100         76          4'426 0.99921900
       101         51          4'444 0.99924450
       102         26          4'445 0.99925750
       103         14          4'462 0.99926450
       104         73          4'463 0.99930100
       105         46          4'481 0.99932400
       106         33          4'482 0.99934050
       107          7          4'499 0.99934400
       108         64          4'500 0.99937600
       109         34          4'518 0.99939300
       110         33          4'519 0.99940950
       111          3          4'536 0.99941100
       112         55          4'537 0.99943850
       113         31          4'555 0.99945400
       114         30          4'556 0.99946900
       115         49          4'574 0.99949350
       116         28          4'592 0.99950750
       117         29          4'593 0.99952200
       118         48          4'611 0.99954600
       119          1          4'612 0.99954650
       120         29          4'629 0.99956100
       121         25          4'630 0.99957350
       122         46          4'648 0.99959650
       123          5          4'649 0.99959900
       124         18          4'666 0.99960800
       125         17          4'667 0.99961650
       126         41          4'685 0.99963700
       127          3          4'686 0.99963850
       128          9          4'703 0.99964300
       129         23          4'704 0.99965450
       130         25          4'722 0.99966700
       131          3          4'723 0.99966850
       132          7          4'740 0.99967200
       133         12          4'741 0.99967800
       134         20          4'759 0.99968800
       135          5          4'760 0.99969050
       136          6          4'777 0.99969350
       137         19          4'778 0.99970300
       138         15          4'796 0.99971050
       139          3          4'797 0.99971200
       140          2          4'814 0.99971300
       141         15          4'815 0.99972050
       142         13          4'833 0.99972700
       143          2          4'834 0.99972800
       144          3          4'851 0.99972950
       145         17          4'852 0.99973800
       146          9          4'870 0.99974250
       147          2          4'871 0.99974350
       148          1          4'889 0.99974400
       149          3          4'907 0.99974550
       150          2          4'908 0.99974650
       151          1          4'925 0.99974700
       152         11          4'926 0.99975250
       153          7          4'944 0.99975600
       154          2          4'945 0.99975700
       155          2          4'962 0.99975800
       156          3          4'963 0.99975950
       157          9          4'981 0.99976400
       158          2          4'982 0.99976500
       159         13          5'000 0.99977150
       160          3          5'018 0.99977300
       161          3          5'019 0.99977450
       162          3          5'037 0.99977600
       163          3          5'055 0.99977750
       164          2          5'056 0.99977850
       165          1          5'073 0.99977900
       166          4          5'074 0.99978100
       167          4          5'092 0.99978300
       168          1          5'093 0.99978350
       169          4          5'111 0.99978550
       170          2          5'129 0.99978650
       171          4          5'130 0.99978850
       172          2          5'148 0.99978950
       173          1          5'166 0.99979000
       174          1          5'167 0.99979050
       175          1          5'185 0.99979100
       176          1          5'203 0.99979150
       177          2          5'204 0.99979250
       178          2          5'222 0.99979350
