./cpp_clockinfo_main-RPi4B-8192MiB-threads_4-LP64-NetBSD_10_64bit-g++_8_O3-libstdc++ . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  7.5893563e+14 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            333 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'900 ns
(with min duration still included)

target with min duration subtracted  :          1'567 ns

Other information for reference:

small scale duration variability     :             19 ns

largest observed duration            :         33'444 ns
(with min duration still included)


      list  #Examples       duration   fraction
  position  of durat.           (ns)    with <=

         0    571'508            333 0.28575400
         1    280'310            334 0.42590900
         2    181'069            351 0.51644350
         3    945'317            352 0.98910200
         4      7'886            353 0.99304500
         5      5'618            370 0.99585400
         6      3'135            371 0.99742150
         7        147            388 0.99749500
         8        921            389 0.99795550
         9         17            390 0.99796400
        10         43            407 0.99798550
        11         25            408 0.99799800
        12          5            426 0.99800050
        13          1            427 0.99800100
        14          2            463 0.99800200
        15          1            481 0.99800250
        16          4            482 0.99800450
        17          2            500 0.99800550
        18          1            518 0.99800600
        19          4            537 0.99800800
        20          1            611 0.99800850
        21          1            648 0.99800900
        22          1            741 0.99800950
        23          1            759 0.99801000
        24          3          1'555 0.99801150
        25          1          1'556 0.99801200
        26          4          1'574 0.99801400
        27          2          1'592 0.99801500
        28          1          1'629 0.99801550
        29          1          1'630 0.99801600
        30          1          1'648 0.99801650
        31          1          1'686 0.99801700
        32          1          1'722 0.99801750
        33          1          1'759 0.99801800
        34          1          1'778 0.99801850
        35          1          1'796 0.99801900
        36          1          1'797 0.99801950
        37          2          1'814 0.99802050
        38          2          1'815 0.99802150
        39          2          1'833 0.99802250
        40          2          1'834 0.99802350
        41          1          1'852 0.99802400
        42          2          1'870 0.99802500
        43          1          1'889 0.99802550
        44          1          1'908 0.99802600
        45          1          1'944 0.99802650
        46          1          1'945 0.99802700
        47          1          1'981 0.99802750
        48          2          2'000 0.99802850
        49          1          2'037 0.99802900
        50          1          2'074 0.99802950
        51          2          2'092 0.99803050
        52          1          2'093 0.99803100
        53          2          2'148 0.99803200
        54          2          2'185 0.99803300
        55          1          2'222 0.99803350
        56          1          2'315 0.99803400
        57          1          2'389 0.99803450
        58          3          2'426 0.99803600
        59          1          2'482 0.99803650
        60          1          2'537 0.99803700
        61          1          2'630 0.99803750
        62          1          2'648 0.99803800
        63          1          2'667 0.99803850
        64          1          2'704 0.99803900
        65          1          2'722 0.99803950
        66          1          2'888 0.99804000
        67          1          2'907 0.99804050
        68          1          2'926 0.99804100
        69          1          3'055 0.99804150
        70          1          3'056 0.99804200
