./cpp_clockinfo_main-RPi4B-4096MiB-threads_4-LP64-ubuntu_20_10_64bit-g++_10_O3-libstdc++-cpulockdown . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  3.7089961e+13 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             55 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'900 ns
(with min duration still included)

target with min duration subtracted  :          1'845 ns

Other information for reference:

small scale duration variability     :             19 ns

largest observed duration            :         63'444 ns
(with min duration still included)


      list  #Examples       duration   fraction
  position  of durat.           (ns)    with <=

         0    394'928             55 0.19746400
         1    492'823             56 0.44387550
         2  1'026'940             74 0.95734550
         3     81'317             75 0.99800400
         4          1             92 0.99800450
         5          7             93 0.99800800
         6          3            111 0.99800950
         7          1            112 0.99801000
         8          1            130 0.99801050
         9          1            222 0.99801100
        10          1            240 0.99801150
        11          1            315 0.99801200
        12          1            334 0.99801250
        13          1            500 0.99801300
        14          1            611 0.99801350
        15          1            630 0.99801400
        16          1            667 0.99801450
        17          1            685 0.99801500
        18          1            741 0.99801550
        19          2            834 0.99801650
        20          1            981 0.99801700
        21          1          2'740 0.99801750
        22          3          2'815 0.99801900
        23          1          2'852 0.99801950
        24          1          2'871 0.99802000
        25          1          2'888 0.99802050
        26          1          2'907 0.99802100
        27          4          2'926 0.99802300
        28          1          2'944 0.99802350
        29          1          2'945 0.99802400
        30          2          2'963 0.99802500
        31          2          2'981 0.99802600
        32          2          2'982 0.99802700
        33          4          3'000 0.99802900
        34          2          3'018 0.99803000
        35          5          3'037 0.99803250
        36          1          3'055 0.99803300
        37          3          3'074 0.99803450
        38          1          3'092 0.99803500
        39          1          3'093 0.99803550
        40          3          3'111 0.99803700
        41          1          3'112 0.99803750
        42          1          3'129 0.99803800
        43          2          3'130 0.99803900
        44          1          3'148 0.99803950
        45          2          3'149 0.99804050
        46          1          3'166 0.99804100
        47          7          3'185 0.99804450
        48          2          3'203 0.99804550
        49          2          3'204 0.99804650
        50          5          3'222 0.99804900
        51          2          3'223 0.99805000
        52          3          3'240 0.99805150
        53          5          3'241 0.99805400
        54          3          3'259 0.99805550
        55         10          3'278 0.99806050
        56         10          3'296 0.99806550
        57          5          3'297 0.99806800
        58          1          3'314 0.99806850
        59         10          3'315 0.99807350
        60          5          3'333 0.99807600
        61          4          3'334 0.99807800
        62          1          3'351 0.99807850
        63          9          3'352 0.99808300
        64          6          3'370 0.99808600
        65          5          3'371 0.99808850
        66          2          3'388 0.99808950
        67         10          3'389 0.99809450
        68          4          3'407 0.99809650
        69          3          3'408 0.99809800
