./cpp_clockinfo_main-RPi4B-4096MiB-threads_4-LP64-ubuntu_20_10_64bit-g++_10_O3-libstdc++ . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  2.0724509e+12 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             55 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'900 ns
(with min duration still included)

target with min duration subtracted  :          1'845 ns

Other information for reference:

small scale duration variability     :             19 ns

largest observed duration            :         70'294 ns
(with min duration still included)


      list  #Examples       duration   fraction
  position  of durat.           (ns)    with <=

         0    412'010             55 0.20600500
         1    512'187             56 0.46209850
         2    994'530             74 0.95936350
         3     77'294             75 0.99801050
         4          8             92 0.99801450
         5          5             93 0.99801700
         6          1            111 0.99801750
         7          1            148 0.99801800
         8          1            166 0.99801850
         9          1            203 0.99801900
        10          2            241 0.99802000
        11          2            352 0.99802100
        12          1            463 0.99802150
        13          1            500 0.99802200
        14          1            556 0.99802250
        15          1          2'759 0.99802300
        16          1          2'760 0.99802350
        17          1          2'833 0.99802400
        18          1          2'852 0.99802450
        19          1          2'871 0.99802500
        20          1          2'908 0.99802550
        21          1          2'963 0.99802600
        22          1          3'018 0.99802650
        23          1          3'019 0.99802700
        24          1          3'055 0.99802750
        25          1          3'056 0.99802800
        26          1          3'092 0.99802850
        27          2          3'093 0.99802950
        28          2          3'111 0.99803050
        29          2          3'130 0.99803150
        30          2          3'148 0.99803250
        31          1          3'149 0.99803300
        32          2          3'166 0.99803400
        33          2          3'167 0.99803500
        34          1          3'185 0.99803550
        35          1          3'186 0.99803600
        36          2          3'203 0.99803700
        37          4          3'204 0.99803900
        38          2          3'222 0.99804000
        39          1          3'240 0.99804050
        40          4          3'241 0.99804250
        41          5          3'259 0.99804500
        42          2          3'260 0.99804600
        43          2          3'277 0.99804700
        44          2          3'278 0.99804800
        45          8          3'296 0.99805200
        46          1          3'314 0.99805250
        47          5          3'315 0.99805500
        48          3          3'333 0.99805650
        49          1          3'334 0.99805700
        50          2          3'352 0.99805800
        51          5          3'370 0.99806050
        52          2          3'371 0.99806150
        53          2          3'388 0.99806250
        54          5          3'389 0.99806500
        55          6          3'407 0.99806800
        56          1          3'408 0.99806850
        57          3          3'425 0.99807000
        58          4          3'426 0.99807200
        59          5          3'444 0.99807450
        60          3          3'445 0.99807600
        61          1          3'463 0.99807650
        62          4          3'481 0.99807850
        63          6          3'482 0.99808150
        64          4          3'500 0.99808350
        65          3          3'518 0.99808500
        66          5          3'519 0.99808750
        67          3          3'537 0.99808900
        68          4          3'555 0.99809100
        69          3          3'556 0.99809250
        70          4          3'574 0.99809450
        71          1          3'592 0.99809500
        72          3          3'593 0.99809650
        73          5          3'611 0.99809900
        74          4          3'629 0.99810100
        75          4          3'630 0.99810300
        76          6          3'648 0.99810600
        77          3          3'666 0.99810750
        78          6          3'667 0.99811050
        79          3          3'685 0.99811200
        80          1          3'686 0.99811250
        81          5          3'703 0.99811500
        82          2          3'704 0.99811600
        83          8          3'722 0.99812000
        84          2          3'723 0.99812100
        85          2          3'740 0.99812200
        86          9          3'741 0.99812650
        87          3          3'759 0.99812800
        88          1          3'760 0.99812850
        89          3          3'777 0.99813000
        90          6          3'778 0.99813300
        91          8          3'796 0.99813700
        92          1          3'797 0.99813750
        93          4          3'814 0.99813950
        94          9          3'815 0.99814400
        95          5          3'833 0.99814650
        96          2          3'834 0.99814750
        97          4          3'851 0.99814950
        98         12          3'852 0.99815550
        99          8          3'870 0.99815950
       100          2          3'871 0.99816050
       101          4          3'888 0.99816250
       102         10          3'889 0.99816750
       103         11          3'907 0.99817300
       104          8          3'908 0.99817700
       105          4          3'925 0.99817900
       106          9          3'926 0.99818350
       107          5          3'944 0.99818600
       108          2          3'945 0.99818700
       109          3          3'962 0.99818850
       110          8          3'963 0.99819250
       111          8          3'981 0.99819650
       112         10          3'982 0.99820150
       113          3          3'999 0.99820300
       114         16          4'000 0.99821100
       115          9          4'018 0.99821550
       116          6          4'019 0.99821850
       117          1          4'036 0.99821900
       118         13          4'037 0.99822550
       119          6          4'055 0.99822850
       120          8          4'056 0.99823250
       121         19          4'074 0.99824200
       122         17          4'092 0.99825050
       123         14          4'093 0.99825750
       124         17          4'111 0.99826600
       125         13          4'129 0.99827250
       126         12          4'130 0.99827850
       127         19          4'148 0.99828800
       128          1          4'149 0.99828850
       129         11          4'166 0.99829400
       130         10          4'167 0.99829900
       131         18          4'185 0.99830800
       132          1          4'186 0.99830850
       133         10          4'203 0.99831350
       134         15          4'204 0.99832100
       135         21          4'222 0.99833150
       136          6          4'223 0.99833450
       137          5          4'240 0.99833700
       138         16          4'241 0.99834500
       139         16          4'259 0.99835300
       140          3          4'260 0.99835450
       141          5          4'277 0.99835700
       142          9          4'278 0.99836150
       143         18          4'296 0.99837050
       144          6          4'297 0.99837350
       145          3          4'314 0.99837500
       146         17          4'315 0.99838350
       147         13          4'333 0.99839000
       148          5          4'334 0.99839250
       149          5          4'351 0.99839500
       150         14          4'352 0.99840200
       151         16          4'370 0.99841000
       152          3          4'371 0.99841150
       153          5          4'388 0.99841400
