./cpp_clockinfo_main-RPi4B-4096MiB-threads_4-LP64-ubuntu_20_10_64bit-g++_10_O3lto-libstdc++-cpulockdown . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  7.7247937e+13 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             55 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'900 ns
(with min duration still included)

target with min duration subtracted  :          1'845 ns

Other information for reference:

small scale duration variability     :             19 ns

largest observed duration            :         71'073 ns
(with min duration still included)


      list  #Examples       duration   fraction
  position  of durat.           (ns)    with <=

         0    411'403             55 0.20570150
         1    512'236             56 0.46181950
         2    994'090             74 0.95886450
         3     78'307             75 0.99801800
         4          2             92 0.99801900
         5          3             93 0.99802050
         6          1            111 0.99802100
         7          1            130 0.99802150
         8          1            149 0.99802200
         9          1            166 0.99802250
        10          1            167 0.99802300
        11          1            222 0.99802350
        12          1            259 0.99802400
        13          1            260 0.99802450
        14          1            389 0.99802500
        15          1            425 0.99802550
        16          1            426 0.99802600
        17          1            482 0.99802650
        18          1            500 0.99802700
        19          1            519 0.99802750
        20          1            593 0.99802800
        21          1            703 0.99802850
        22          1            777 0.99802900
        23          1          2'704 0.99802950
        24          2          2'833 0.99803050
        25          1          2'834 0.99803100
        26          2          2'852 0.99803200
        27          2          2'889 0.99803300
        28          2          2'907 0.99803400
        29          1          2'908 0.99803450
        30          4          2'944 0.99803650
        31          3          2'963 0.99803800
        32          1          2'981 0.99803850
        33          1          2'982 0.99803900
        34          2          3'000 0.99804000
        35          2          3'019 0.99804100
        36          4          3'055 0.99804300
        37          1          3'056 0.99804350
        38          3          3'074 0.99804500
        39          6          3'093 0.99804800
        40          8          3'111 0.99805200
        41          1          3'112 0.99805250
        42          2          3'129 0.99805350
        43          3          3'130 0.99805500
        44          1          3'148 0.99805550
        45          1          3'149 0.99805600
        46          4          3'166 0.99805800
        47          1          3'167 0.99805850
        48          4          3'185 0.99806050
        49          1          3'186 0.99806100
        50          2          3'203 0.99806200
        51          5          3'204 0.99806450
        52          5          3'222 0.99806700
        53          1          3'240 0.99806750
        54          2          3'241 0.99806850
        55          7          3'259 0.99807200
        56          1          3'277 0.99807250
        57          3          3'278 0.99807400
        58          6          3'296 0.99807700
        59          2          3'315 0.99807800
        60          9          3'333 0.99808250
        61          1          3'334 0.99808300
        62          1          3'351 0.99808350
        63          7          3'370 0.99808700
        64          3          3'389 0.99808850
        65          4          3'407 0.99809050
        66          3          3'408 0.99809200
        67          3          3'425 0.99809350
        68          4          3'426 0.99809550
        69          2          3'444 0.99809650
        70          2          3'445 0.99809750
        71          2          3'463 0.99809850
        72          1          3'481 0.99809900
        73          2          3'482 0.99810000
        74          2          3'500 0.99810100
        75          3          3'518 0.99810250
        76          3          3'519 0.99810400
        77          5          3'537 0.99810650
        78          1          3'555 0.99810700
        79          2          3'556 0.99810800
        80          3          3'574 0.99810950
        81          2          3'592 0.99811050
        82          2          3'593 0.99811150
        83          4          3'611 0.99811350
        84          1          3'612 0.99811400
        85          6          3'629 0.99811700
        86          7          3'630 0.99812050
        87          2          3'648 0.99812150
        88          2          3'666 0.99812250
        89          2          3'667 0.99812350
        90          4          3'685 0.99812550
        91          1          3'686 0.99812600
        92          1          3'703 0.99812650
        93          4          3'704 0.99812850
        94          4          3'722 0.99813050
        95          1          3'740 0.99813100
        96          3          3'741 0.99813250
        97          5          3'759 0.99813500
        98          1          3'777 0.99813550
        99          4          3'778 0.99813750
       100          4          3'796 0.99813950
       101          5          3'815 0.99814200
       102          8          3'833 0.99814600
       103          3          3'834 0.99814750
       104          2          3'851 0.99814850
       105          7          3'852 0.99815200
       106          6          3'870 0.99815500
       107          3          3'871 0.99815650
       108          3          3'888 0.99815800
       109         10          3'889 0.99816300
       110          1          3'907 0.99816350
       111          6          3'908 0.99816650
       112          6          3'926 0.99816950
       113          3          3'944 0.99817100
       114          3          3'945 0.99817250
       115          2          3'962 0.99817350
       116          8          3'963 0.99817750
       117          5          3'981 0.99818000
       118          6          4'000 0.99818300
       119          5          4'018 0.99818550
       120          5          4'019 0.99818800
       121          2          4'036 0.99818900
