./cpp_clockinfo_main-RPi4B-8192MiB-threads_4-LP64-ubuntu_20_04_1_64bit-g++_9_O3-libstdc++-cpulockdown . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  1.1478695e+13 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             55 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'900 ns
(with min duration still included)

target with min duration subtracted  :          1'845 ns

Other information for reference:

small scale duration variability     :             19 ns

largest observed duration            :         90'387 ns
(with min duration still included)


      list  #Examples       duration   fraction
  position  of durat.           (ns)    with <=

         0    386'714             55 0.19335700
         1    482'138             56 0.43442600
         2  1'044'743             74 0.95679750
         3     82'311             75 0.99795300
         4         49             92 0.99797750
         5         63             93 0.99800900
         6         10            111 0.99801400
         7          4            112 0.99801600
         8          1            129 0.99801650
         9          2            130 0.99801750
        10          2            185 0.99801850
        11          1            204 0.99801900
        12          1            241 0.99801950
        13          1            333 0.99802000
        14          1            426 0.99802050
        15          1          2'500 0.99802100
        16          1          2'630 0.99802150
        17          1          2'666 0.99802200
        18          1          2'685 0.99802250
        19          2          2'703 0.99802350
        20          1          2'722 0.99802400
        21          1          2'723 0.99802450
        22          1          2'741 0.99802500
        23          3          2'759 0.99802650
        24          3          2'778 0.99802800
        25          1          2'796 0.99802850
        26          3          2'797 0.99803000
        27          1          2'814 0.99803050
        28          2          2'815 0.99803150
        29          3          2'833 0.99803300
        30          1          2'834 0.99803350
        31          4          2'852 0.99803550
        32          2          2'870 0.99803650
        33          1          2'871 0.99803700
        34          5          2'889 0.99803950
        35          4          2'907 0.99804150
        36          1          2'908 0.99804200
        37          8          2'926 0.99804600
        38          2          2'944 0.99804700
        39          2          2'945 0.99804800
        40          6          2'963 0.99805100
        41          4          2'981 0.99805300
        42          4          2'982 0.99805500
        43          1          2'999 0.99805550
        44          3          3'000 0.99805700
        45          4          3'018 0.99805900
        46          3          3'019 0.99806050
        47          8          3'037 0.99806450
        48          3          3'055 0.99806600
        49          2          3'056 0.99806700
        50          4          3'074 0.99806900
        51          5          3'092 0.99807150
        52          8          3'111 0.99807550
        53          2          3'112 0.99807650
        54          2          3'129 0.99807750
        55          5          3'130 0.99808000
        56          8          3'148 0.99808400
        57          1          3'149 0.99808450
        58          4          3'166 0.99808650
        59          9          3'167 0.99809100
        60         17          3'185 0.99809950
        61          1          3'186 0.99810000
        62          8          3'203 0.99810400
        63         12          3'204 0.99811000
        64          9          3'222 0.99811450
        65          3          3'223 0.99811600
        66          3          3'240 0.99811750
        67         13          3'241 0.99812400
        68         27          3'259 0.99813750
        69          7          3'260 0.99814100
        70          9          3'277 0.99814550
        71         26          3'278 0.99815850
        72         17          3'296 0.99816700
        73          7          3'297 0.99817050
        74          6          3'314 0.99817350
        75         31          3'315 0.99818900
        76         30          3'333 0.99820400
        77         13          3'334 0.99821050
        78         12          3'351 0.99821650
        79         40          3'352 0.99823650
        80         28          3'370 0.99825050
        81         11          3'371 0.99825600
        82          9          3'388 0.99826050
        83         46          3'389 0.99828350
        84         34          3'407 0.99830050
        85         16          3'408 0.99830850
        86          5          3'425 0.99831100
        87         55          3'426 0.99833850
        88         36          3'444 0.99835650
        89         21          3'445 0.99836700
        90          2          3'462 0.99836800
        91         66          3'463 0.99840100
        92         44          3'481 0.99842300
        93         39          3'482 0.99844250
        94          8          3'499 0.99844650
        95         64          3'500 0.99847850
        96         42          3'518 0.99849950
        97         26          3'519 0.99851250
        98          1          3'536 0.99851300
        99         75          3'537 0.99855050
       100         54          3'555 0.99857750
       101         42          3'556 0.99859850
       102         92          3'574 0.99864450
       103          1          3'575 0.99864500
       104         33          3'592 0.99866150
       105         59          3'593 0.99869100
       106         76          3'611 0.99872900
       107          7          3'612 0.99873250
       108         39          3'629 0.99875200
       109         68          3'630 0.99878600
       110         86          3'648 0.99882900
       111         10          3'649 0.99883400
       112         35          3'666 0.99885150
       113         52          3'667 0.99887750
       114         92          3'685 0.99892350
       115         15          3'686 0.99893100
       116         33          3'703 0.99894750
       117         63          3'704 0.99897900
       118         72          3'722 0.99901500
       119         17          3'723 0.99902350
       120         23          3'740 0.99903500
       121         76          3'741 0.99907300
       122         74          3'759 0.99911000
       123         18          3'760 0.99911900
       124         23          3'777 0.99913050
       125         60          3'778 0.99916050
       126         66          3'796 0.99919350
       127         23          3'797 0.99920500
       128         18          3'814 0.99921400
       129         63          3'815 0.99924550
       130         72          3'833 0.99928150
       131         31          3'834 0.99929700
       132         17          3'851 0.99930550
       133         67          3'852 0.99933900
       134         45          3'870 0.99936150
       135         20          3'871 0.99937150
       136         12          3'888 0.99937750
       137         50          3'889 0.99940250
       138         51          3'907 0.99942800
       139         23          3'908 0.99943950
       140         10          3'925 0.99944450
       141         49          3'926 0.99946900
       142         36          3'944 0.99948700
       143         19          3'945 0.99949650
       144          5          3'962 0.99949900
       145         63          3'963 0.99953050
       146         35          3'981 0.99954800
       147         23          3'982 0.99955950
       148          2          3'999 0.99956050
       149         57          4'000 0.99958900
       150         31          4'018 0.99960450
       151         21          4'019 0.99961500
       152         53          4'037 0.99964150
       153         27          4'055 0.99965500
       154         22          4'056 0.99966600
       155         45          4'074 0.99968850
       156         12          4'092 0.99969450
       157         16          4'093 0.99970250
       158         28          4'111 0.99971650
       159          3          4'112 0.99971800
       160         11          4'129 0.99972350
       161         13          4'130 0.99973000
       162         27          4'148 0.99974350
       163          2          4'149 0.99974450
       164          5          4'166 0.99974700
       165         10          4'167 0.99975200
       166         14          4'185 0.99975900
       167          3          4'186 0.99976050
       168          6          4'203 0.99976350
       169          9          4'204 0.99976800
       170         12          4'222 0.99977400
       171          3          4'223 0.99977550
