./cpp_clockinfo_main-ThreadRipper1950X-131072MiB-threads_32-LP64-FreeBSD_13_r363590M_64bit-g++_10_O3lto-libc++-cpulockdown . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  1.9285089e+14 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             40 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'000 ns
(with min duration still included)

target with min duration subtracted  :            960 ns

Other information for reference:

small scale duration variability     :             10 ns

largest observed duration            :          5'581 ns
(with min duration still included)


      list  #Examples       duration   fraction
  position  of durat.           (ns)    with <=

         0    252'999             40 0.12649950
         1     20'910             41 0.13695450
         2  1'556'561             50 0.91523500
         3    165'124             51 0.99779700
         4        328             60 0.99796100
         5         51             61 0.99798650
         6          8             70 0.99799050
         7          1             71 0.99799100
         8          2             80 0.99799200
         9          6            761 0.99799500
        10         10            762 0.99800000
        11         41            771 0.99802050
        12         29            772 0.99803500
        13        120            781 0.99809500
        14        118            782 0.99815400
        15        215            791 0.99826150
        16        221            792 0.99837200
        17        222            801 0.99848300
        18        278            802 0.99862200
        19        170            811 0.99870700
        20        215            812 0.99881450
        21         97            821 0.99886300
        22        149            822 0.99893750
        23         74            831 0.99897450
        24         77            832 0.99901300
        25         38            841 0.99903200
        26         69            842 0.99906650
        27         22            851 0.99907750
        28         40            852 0.99909750
        29         22            861 0.99910850
        30         39            862 0.99912800
        31         11            871 0.99913350
        32         39            872 0.99915300
        33         15            881 0.99916050
        34         30            882 0.99917550
        35         19            891 0.99918500
        36         33            892 0.99920150
        37         10            901 0.99920650
        38         46            902 0.99922950
        39         13            911 0.99923600
        40         47            912 0.99925950
        41         18            921 0.99926850
        42         59            922 0.99929800
        43         10            931 0.99930300
        44         43            932 0.99932450
        45          4            941 0.99932650
        46         49            942 0.99935100
        47          6            951 0.99935400
        48         45            952 0.99937650
        49         12            961 0.99938250
        50         59            962 0.99941200
        51          5            971 0.99941450
        52         49            972 0.99943900
        53          5            981 0.99944150
        54         37            982 0.99946000
        55          1            983 0.99946050
        56          4            991 0.99946250
        57         46            992 0.99948550
        58          1            993 0.99948600
        59          2          1'001 0.99948700
        60         36          1'002 0.99950500
        61          2          1'011 0.99950600
        62         31          1'012 0.99952150
