./cpp_clockinfo_main-ThreadRipper1950X-131072MiB-threads_32-LP64-FreeBSD_13_r363590M_64bit-g++_10_O3lto-libc++ . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  1.8078592e+14 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             40 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'000 ns
(with min duration still included)

target with min duration subtracted  :            960 ns

Other information for reference:

small scale duration variability     :             10 ns

largest observed duration            :          6'012 ns
(with min duration still included)


      list  #Examples       duration   fraction
  position  of durat.           (ns)    with <=

         0    237'873             40 0.11893650
         1     19'665             41 0.12876900
         2  1'571'587             50 0.91456250
         3    166'702             51 0.99791350
         4         86             60 0.99795650
         5         15             61 0.99796400
         6          3             70 0.99796550
         7          1            110 0.99796600
         8          1            111 0.99796650
         9         18            120 0.99797550
        10          5            121 0.99797800
        11          1            150 0.99797850
        12          1            161 0.99797900
        13          4            170 0.99798100
        14          4            171 0.99798300
        15          8            180 0.99798700
        16          5            181 0.99798950
        17          2            190 0.99799050
        18          2            191 0.99799150
        19          1            200 0.99799200
        20          1            321 0.99799250
        21          7            751 0.99799600
        22          3            752 0.99799750
        23         39            761 0.99801700
        24         37            762 0.99803550
        25        103            771 0.99808700
        26         82            772 0.99812800
        27        103            781 0.99817950
        28        106            782 0.99823250
        29         94            791 0.99827950
        30        110            792 0.99833450
        31         96            801 0.99838250
        32        103            802 0.99843400
        33         79            811 0.99847350
        34         94            812 0.99852050
        35         48            821 0.99854450
        36         74            822 0.99858150
        37         59            831 0.99861100
        38         76            832 0.99864900
        39         36            841 0.99866700
        40         60            842 0.99869700
        41         33            851 0.99871350
        42         41            852 0.99873400
        43         12            861 0.99874000
        44         24            862 0.99875200
        45         18            871 0.99876100
        46         41            872 0.99878150
        47         19            881 0.99879100
        48         35            882 0.99880850
        49         17            891 0.99881700
        50         41            892 0.99883750
        51         25            901 0.99885000
        52         74            902 0.99888700
        53         31            911 0.99890250
        54         73            912 0.99893900
        55         21            921 0.99894950
        56         66            922 0.99898250
        57         23            931 0.99899400
        58         82            932 0.99903500
        59         18            941 0.99904400
        60         63            942 0.99907550
        61         10            951 0.99908050
        62         62            952 0.99911150
        63         13            961 0.99911800
        64         46            962 0.99914100
        65         12            971 0.99914700
        66         66            972 0.99918000
        67          5            981 0.99918250
        68         43            982 0.99920400
        69          6            991 0.99920700
        70         33            992 0.99922350
        71          1            993 0.99922400
        72          6          1'001 0.99922700
        73         41          1'002 0.99924750
        74          2          1'003 0.99924850
        75          5          1'011 0.99925100
        76         32          1'012 0.99926700
        77          1          1'013 0.99926750
        78          2          1'021 0.99926850
        79         36          1'022 0.99928650
        80          3          1'023 0.99928800
        81          2          1'031 0.99928900
        82         27          1'032 0.99930250
        83          1          1'041 0.99930300
        84         36          1'042 0.99932100
        85          2          1'043 0.99932200
        86          1          1'051 0.99932250
        87         28          1'052 0.99933650
        88          1          1'053 0.99933700
        89          3          1'061 0.99933850
        90         40          1'062 0.99935850
        91          5          1'063 0.99936100
        92          2          1'071 0.99936200
        93         44          1'072 0.99938400
        94          2          1'073 0.99938500
        95          1          1'081 0.99938550
        96         31          1'082 0.99940100
        97          3          1'083 0.99940250
        98         26          1'092 0.99941550
