./cpp_clockinfo_main-ThreadRipper1950X-131072MiB-threads_32-LP64-Fedora_32-g++_10_O3lto-libstdc++-cpulockdown . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  1.5810525e+13 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             20 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'000 ns
(with min duration still included)

target with min duration subtracted  :            980 ns

Other information for reference:

small scale duration variability     :             10 ns

largest observed duration            :         36'259 ns
(with min duration still included)


      list  #Examples       duration   fraction
  position  of durat.           (ns)    with <=

         0    138'628             20 0.06931400
         1      5'455             21 0.07204150
         2  1'738'198             30 0.94114050
         3    106'142             31 0.99421150
         4      6'943             40 0.99768300
         5        581             41 0.99797350
         6         24             50 0.99798550
         7          7             51 0.99798900
         8         32             60 0.99800500
         9          6             61 0.99800800
        10          5             70 0.99801050
        11          1             80 0.99801100
        12          2             90 0.99801200
        13          2            120 0.99801300
        14          1            140 0.99801350
        15          1            150 0.99801400
        16          4            160 0.99801600
        17          1            161 0.99801650
        18          2            170 0.99801750
        19          1            180 0.99801800
        20          1            321 0.99801850
        21          4            751 0.99802050
        22          3            752 0.99802200
        23          5            761 0.99802450
        24          4            762 0.99802650
        25          9            771 0.99803100
        26          9            772 0.99803550
        27         14            781 0.99804250
        28         17            782 0.99805100
        29         20            791 0.99806100
        30         24            792 0.99807300
        31         18            801 0.99808200
        32         20            802 0.99809200
        33         14            811 0.99809900
        34         30            812 0.99811400
        35         10            821 0.99811900
        36         15            822 0.99812650
        37          8            831 0.99813050
        38         16            832 0.99813850
        39          5            841 0.99814100
        40          4            842 0.99814300
        41          2            851 0.99814400
        42          7            852 0.99814750
        43          4            861 0.99814950
        44          3            862 0.99815100
        45          2            871 0.99815200
        46          4            872 0.99815400
        47          2            881 0.99815500
        48          6            882 0.99815800
        49         11            891 0.99816350
        50         10            892 0.99816850
        51         16            901 0.99817650
        52         43            902 0.99819800
