./cpp_clockinfo_main-WDK23_CA72-32768MiB-threads_8-LP64-FreeBSD_main_n262658_b347c2284603_64bit-g++_13_O3lto_CA72-libstdc++ . . .
cpp_clockinfo_main version: acpphint_0.1.33


is_steady:                           true
period 'resolution' : 1 ns
duration max        : 9'223'372'036'854'775'807 ns
now (from epoch)    : 24'697'674'592'901 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     : 52 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 5'300 ns
(with min duration still included)

target with min duration subtracted  : 5'248 ns

Other information for reference:

small scale duration variability     : 53 ns

largest observed duration            : 27'291 ns
(with min duration still included)


      list  #Examples       duration   fraction
  position  of durat.           (ns)    with <=

         0    341'653             52 0.17082650
         1     29'980             53 0.18581650
         2  1'230'425            104 0.80102900
         3    236'933            105 0.91949550
         4    118'768            156 0.97887950
         5     38'102            157 0.99793050
         6          8            208 0.99793450
         7          3            209 0.99793600
         8          1            365 0.99793650
         9          3            833 0.99793800
        10          2            937 0.99793900
        11          1            938 0.99793950
        12          5            989 0.99794200
        13          1            990 0.99794250
        14          1          1'041 0.99794300
        15          3          1'042 0.99794450
        16          3          1'145 0.99794600
        17          2          1'146 0.99794700
        18          1          1'197 0.99794750
        19          7          1'198 0.99795100
        20          1          1'249 0.99795150
        21          9          1'250 0.99795600
        22         15          1'302 0.99796350
        23         17          1'354 0.99797200
        24          2          1'355 0.99797300
        25         23          1'406 0.99798450
        26          5          1'407 0.99798700
        27         18          1'458 0.99799600
        28          9          1'459 0.99800050
        29         37          1'510 0.99801900
        30         10          1'511 0.99802400
        31         44          1'562 0.99804600
        32         37          1'563 0.99806450
        33         56          1'614 0.99809250
        34         34          1'615 0.99810950
        35         44          1'666 0.99813150
        36         45          1'667 0.99815400
        37         17          1'718 0.99816250
        38         51          1'719 0.99818800
        39         27          1'770 0.99820150
        40         56          1'771 0.99822950
        41         22          1'822 0.99824050
        42         94          1'823 0.99828750
        43          6          1'874 0.99829050
        44         97          1'875 0.99833900
        45        110          1'927 0.99839400
        46        116          1'979 0.99845200
        47          8          1'980 0.99845600
        48        133          2'031 0.99852250
        49         32          2'032 0.99853850
        50        181          2'083 0.99862900
        51         53          2'084 0.99865550
        52        197          2'135 0.99875400
        53         93          2'136 0.99880050
        54        205          2'187 0.99890300
        55        127          2'188 0.99896650
        56        143          2'239 0.99903800
        57        130          2'240 0.99910300
        58        112          2'291 0.99915900
        59        145          2'292 0.99923150
        60         64          2'343 0.99926350
        61        107          2'344 0.99931700
        62         38          2'395 0.99933600
        63        109          2'396 0.99939050
        64         31          2'447 0.99940600
        65         83          2'448 0.99944750
        66         20          2'499 0.99945750
        67        100          2'500 0.99950750
        68          4          2'551 0.99950950
        69        104          2'552 0.99956150
        70        104          2'604 0.99961350
        71          4          2'605 0.99961550
        72         94          2'656 0.99966250
        73         13          2'657 0.99966900
        74         84          2'708 0.99971100
        75         23          2'709 0.99972250
        76         51          2'760 0.99974800
        77         32          2'761 0.99976400
        78         35          2'812 0.99978150
        79         16          2'813 0.99978950
        80         26          2'864 0.99980250
        81         18          2'865 0.99981150
        82         17          2'916 0.99982000
        83         14          2'917 0.99982700
        84          7          2'968 0.99983050
        85         17          2'969 0.99983900
        86          9          3'020 0.99984350
        87         15          3'021 0.99985100
        88         10          3'072 0.99985600
        89         22          3'073 0.99986700
        90          5          3'124 0.99986950
        91         23          3'125 0.99988100
        92          3          3'176 0.99988250
        93         19          3'177 0.99989200
        94         24          3'229 0.99990400
        95          8          3'281 0.99990800
        96          1          3'282 0.99990850
        97         10          3'333 0.99991350
        98          1          3'334 0.99991400
        99          8          3'385 0.99991800
       100          2          3'386 0.99991900
       101          2          3'437 0.99992000
       102          1          3'438 0.99992050
       103          2          3'489 0.99992150
       104          4          3'490 0.99992350
       105          2          3'541 0.99992450
       106          3          3'542 0.99992600
       107          4          3'593 0.99992800
       108          3          3'594 0.99992950
       109          1          3'645 0.99993000
       110          8          3'698 0.99993400
       111          1          3'749 0.99993450
       112          3          3'750 0.99993600
       113          1          3'801 0.99993650
       114          5          3'802 0.99993900
       115         10          3'854 0.99994400
       116         10          3'906 0.99994900
       117          1          3'907 0.99994950
       118          1          3'958 0.99995000
       119          2          3'959 0.99995100
       120          2          4'010 0.99995200
       121          2          4'011 0.99995300
       122          6          4'062 0.99995600
       123          2          4'063 0.99995700
       124          3          4'114 0.99995850
       125          6          4'115 0.99996150
       126          4          4'166 0.99996350
       127          6          4'167 0.99996650
       128          3          4'218 0.99996800
       129          8          4'219 0.99997200
       130          1          4'270 0.99997250
       131          5          4'271 0.99997500
       132          4          4'323 0.99997700
       133          1          4'374 0.99997750
       134          6          4'375 0.99998050
       135          4          4'427 0.99998250
       136          1          4'478 0.99998300
       137          2          4'479 0.99998400
       138          3          4'531 0.99998550
       139          2          4'583 0.99998650
       140          3          4'635 0.99998800
       141          1          4'636 0.99998850
       142          1          4'687 0.99998900
       143          1          4'739 0.99998950
       144          2          4'791 0.99999050
       145          1          4'896 0.99999100
       146          2          5'000 0.99999200
       147          2          5'312 0.99999300
       148          1          5'313 0.99999350
       149          1          5'416 0.99999400
       150          1          5'469 0.99999450
       151          1          5'781 0.99999500
       152          2          6'146 0.99999600
       153          1          6'302 0.99999650
       154          1         23'540 0.99999700
       155          1         23'697 0.99999750
       156          1         24'113 0.99999800
       157          1         24'166 0.99999850
       158          1         24'791 0.99999900
       159          1         26'144 0.99999950
       160          1         27'291 1.00000000

Other threads (parallel, if any):

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     : 52 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 5'200 ns
(with min duration still included)

target with min duration subtracted  : 5'148 ns

Other information for reference:

small scale duration variability     : 52 ns

largest observed duration            : 34'999 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     : 52 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 10'400 ns
(with min duration still included)

target with min duration subtracted  : 10'348 ns

Other information for reference:

small scale duration variability     : 104 ns

largest observed duration            : 330'349 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     : 52 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 10'400 ns
(with min duration still included)

target with min duration subtracted  : 10'348 ns

Other information for reference:

small scale duration variability     : 104 ns

largest observed duration            : 320'453 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     : 52 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 5'300 ns
(with min duration still included)

target with min duration subtracted  : 5'248 ns

Other information for reference:

small scale duration variability     : 53 ns

largest observed duration            : 344'566 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     : 52 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 5'200 ns
(with min duration still included)

target with min duration subtracted  : 5'148 ns

Other information for reference:

small scale duration variability     : 52 ns

largest observed duration            : 53'643 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     : 52 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 5'200 ns
(with min duration still included)

target with min duration subtracted  : 5'148 ns

Other information for reference:

small scale duration variability     : 52 ns

largest observed duration            : 42'810 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     : 52 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 5'200 ns
(with min duration still included)

target with min duration subtracted  : 5'148 ns

Other information for reference:

small scale duration variability     : 52 ns

largest observed duration            : 34'998 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     : 52 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 5'300 ns
(with min duration still included)

target with min duration subtracted  : 5'248 ns

Other information for reference:

small scale duration variability     : 53 ns

largest observed duration            : 1'580'912 ns
(with min duration still included)


Overall:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 18'000'000 near 'back to back now()' durations:

minimum duration                     : 52 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 10'400 ns
(with min duration still included)

target with min duration subtracted  : 10'348 ns

Other information for reference:

small scale duration variability     : 104 ns

largest observed duration            : 1'580'912 ns
(with min duration still included)

