./cpp_clockinfo_main-WDK23_CA78C-32768MiB-threads_8-LP64-FreeBSD_main_n262658_b347c2284603_64bit-clang++_16_O3lto-libc++ . . .
cpp_clockinfo_main version: acpphint_0.1.33


is_steady:                           true
period 'resolution' : 1 ns
duration max        : 9'223'372'036'854'775'807 ns
now (from epoch)    : 221'448'109'763'967 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     : 52 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 10'400 ns
(with min duration still included)

target with min duration subtracted  : 10'348 ns

Other information for reference:

small scale duration variability     : 104 ns

largest observed duration            : 68'590 ns
(with min duration still included)


      list  #Examples       duration   fraction
  position  of durat.           (ns)    with <=

         0    251'947             52 0.12597350
         1     22'097             53 0.13702200
         2    806'041            104 0.54004250
         3    155'570            105 0.61782750
         4    575'851            156 0.90575300
         5    184'138            157 0.99782200
         6        117            208 0.99788050
         7         67            209 0.99791400
         8          1            312 0.99791450
         9          1            989 0.99791500
        10          1          1'042 0.99791550
        11          1          1'198 0.99791600
        12          1          1'249 0.99791650
        13          6          1'250 0.99791950
        14          4          1'302 0.99792150
        15          6          1'354 0.99792450
        16          4          1'406 0.99792650
        17          1          1'407 0.99792700
        18          2          1'458 0.99792800
        19          2          1'459 0.99792900
        20          7          1'510 0.99793250
        21          2          1'511 0.99793350
        22          6          1'562 0.99793650
        23          2          1'563 0.99793750
        24          7          1'614 0.99794100
        25          4          1'615 0.99794300
        26          6          1'666 0.99794600
        27          6          1'667 0.99794900
        28          7          1'718 0.99795250
        29         12          1'719 0.99795850
        30          5          1'770 0.99796100
        31          6          1'771 0.99796400
        32          4          1'822 0.99796600
        33         16          1'823 0.99797400
        34          3          1'874 0.99797550
        35         32          1'875 0.99799150
        36          1          1'926 0.99799200
        37         30          1'927 0.99800700
        38         27          1'979 0.99802050
        39         17          2'031 0.99802900
        40          2          2'032 0.99803000
        41          5          2'083 0.99803250
        42          2          2'084 0.99803350
        43          2          2'135 0.99803450
        44          4          2'136 0.99803650
        45          5          2'187 0.99803900
        46          3          2'188 0.99804050
        47          1          2'239 0.99804100
        48          2          2'240 0.99804200
        49          4          2'292 0.99804400
        50          2          2'343 0.99804500
        51          6          2'344 0.99804800
        52          2          2'395 0.99804900
        53          3          2'396 0.99805050
        54         15          2'448 0.99805800
        55          1          2'499 0.99805850
        56         21          2'500 0.99806900
        57         29          2'552 0.99808350
        58         46          2'604 0.99810650
        59          2          2'605 0.99810750
        60         34          2'656 0.99812450
        61          5          2'657 0.99812700
        62         42          2'708 0.99814800
        63         13          2'709 0.99815450
        64         45          2'760 0.99817700
        65         19          2'761 0.99818650
        66         64          2'812 0.99821850
        67         35          2'813 0.99823600
        68         66          2'864 0.99826900
        69         49          2'865 0.99829350
        70         49          2'916 0.99831800
        71         68          2'917 0.99835200
        72         40          2'968 0.99837200
        73         69          2'969 0.99840650
        74         48          3'020 0.99843050
        75         95          3'021 0.99847800
        76         24          3'072 0.99849000
        77         98          3'073 0.99853900
        78         13          3'124 0.99854550
        79        124          3'125 0.99860750
        80         10          3'176 0.99861250
        81        134          3'177 0.99867950
        82        141          3'229 0.99875000
        83          1          3'230 0.99875050
        84        131          3'281 0.99881600
        85         15          3'282 0.99882350
        86         99          3'333 0.99887300
        87         22          3'334 0.99888400
        88         79          3'385 0.99892350
        89         33          3'386 0.99894000
        90         69          3'437 0.99897450
        91         36          3'438 0.99899250
        92         64          3'489 0.99902450
        93         33          3'490 0.99904100
        94         45          3'541 0.99906350
        95         48          3'542 0.99908750
        96         36          3'593 0.99910550
        97         74          3'594 0.99914250
        98         27          3'645 0.99915600
        99         75          3'646 0.99919350
       100         21          3'697 0.99920400
       101         71          3'698 0.99923950
       102         19          3'749 0.99924900
       103         76          3'750 0.99928700
       104         10          3'801 0.99929200
       105         80          3'802 0.99933200
       106          1          3'853 0.99933250
       107        108          3'854 0.99938650
       108        100          3'906 0.99943650
       109          3          3'907 0.99943800
       110         88          3'958 0.99948200
       111          9          3'959 0.99948650
       112         57          4'010 0.99951500
       113         16          4'011 0.99952300
       114         62          4'062 0.99955400
       115         33          4'063 0.99957050
       116         49          4'114 0.99959500
       117         30          4'115 0.99961000
       118         30          4'166 0.99962500
       119         35          4'167 0.99964250
       120         39          4'218 0.99966200
       121         31          4'219 0.99967750
       122         29          4'270 0.99969200
       123         42          4'271 0.99971300
       124         21          4'322 0.99972350
       125         34          4'323 0.99974050
       126         11          4'374 0.99974600
       127         35          4'375 0.99976350
       128          7          4'426 0.99976700
       129         36          4'427 0.99978500
       130          2          4'478 0.99978600
       131         43          4'479 0.99980750
       132         35          4'531 0.99982500
       133          1          4'532 0.99982550
       134         35          4'583 0.99984300
       135          4          4'584 0.99984500
       136         25          4'635 0.99985750
       137          4          4'636 0.99985950
       138         11          4'687 0.99986500
       139          8          4'688 0.99986900
       140         16          4'739 0.99987700
       141          9          4'740 0.99988150
       142          4          4'791 0.99988350
       143          5          4'792 0.99988600
       144          1          4'843 0.99988650
       145          4          4'844 0.99988850
       146          5          4'895 0.99989100
       147          6          4'896 0.99989400
       148          5          4'947 0.99989650
       149          7          4'948 0.99990000
